CoQ code,Series,Register status,Date of issue,Supersedes,Plan no.,Batch (cultivation),P lot,Strain,Harvest,Packaging,Manuf. date (template),Pack. date (template),iCoA code,iCoA issued,iCoA tested / sampled,Retest campaign,Total THC (%),THC certificate,Grade,Potency window,Product code,Specification code,Specification status,Phenotype,Chemotype,Processing,Dominance,Packaging (spec.),Latest external certificate,#1 result,#1 document,#1 issued,#1 laboratory,#2 result,#2 document,#2 issued,#2 laboratory,#3 result,#3 document,#3 issued,#3 laboratory,#4 result,#4 document,#4 issued,#4 laboratory,#5 result,#5 document,#5 issued,#5 laboratory,#6 result,#6 document,#6 issued,#6 laboratory,#7 result,#7 document,#7 issued,#7 laboratory,#8 result,#8 document,#8 issued,#8 laboratory,#9.1 result,#9.1 document,#9.1 issued,#9.1 laboratory,#9.2 result,#9.2 document,#9.2 issued,#9.2 laboratory,#9.3 result,#9.3 document,#9.3 issued,#9.3 laboratory,#9.4 result,#9.4 document,#9.4 issued,#9.4 laboratory,#9.5 result,#9.5 document,#9.5 issued,#9.5 laboratory,#9.6 result,#9.6 document,#9.6 issued,#9.6 laboratory,#9.7 result,#9.7 document,#9.7 issued,#9.7 laboratory,#10.1 result,#10.1 document,#10.1 issued,#10.1 laboratory,#10.2 result,#10.2 document,#10.2 issued,#10.2 laboratory,#10.3 result,#10.3 document,#10.3 issued,#10.3 laboratory,#11.1 result,#11.1 document,#11.1 issued,#11.1 laboratory,#11.2 result,#11.2 document,#11.2 issued,#11.2 laboratory,#11.3 result,#11.3 document,#11.3 issued,#11.3 laboratory,#11.4 result,#11.4 document,#11.4 issued,#11.4 laboratory,#12 result,#12 document,#12 issued,#12 laboratory
CoQ-PP_26-093,reissue — retest,issuable,17.08.2026,CoQ-PP_26-015 of 06.06.2026,CoQ-PP-2026-0038,GG1024_01,P050092,Gorilla Glue,17.03.2025 – 18.03.2025,31.07.2025 – 05.08.2025,17.03.2025,31.07.2025,iCoA-PP_26-106,27.07.2026,22.07.2026,Tranche 1,18.67,197-9-К/26,I,16.23 – 19.76 %,GG_THC18 : CBD1,QCSP_001_GG-I_v.01,"for review — replaces the issued QCSP_001_GG-I_v.01 (was GG_THC18 : CBD1, 17.01 – 18.99 %); now GG_THC18 : CBD1 16.23 – 19.76 %",INDICA,THC,MACHINE TRIMMED,—,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",10.08.2026,Conforms | Одговара,iCoA-PP_26-106,27.07.2026,Purely Plant GmbH (in-house),Conforms | Одговара,iCoA-PP_26-106,27.07.2026,Purely Plant GmbH (in-house),Conforms | Одговара,197-9-К/26,07.08.2026,Farmahem,18.67,197-9-К/26,07.08.2026,Farmahem,< LOQ,197-9-К/26,07.08.2026,Farmahem,0.20,197-9-К/26,07.08.2026,Farmahem,Conforms | Одговара,iCoA-PP_26-106,27.07.2026,Purely Plant GmbH (in-house),7.54,ППК25104,17.04.2025,UKIM Faculty of Pharmacy — Center for Natural Products,5.1 × 10⁴,320/0587/25,14.04.2025,IPH — Institute of Public Health,4.2 × 10⁴,320/0587/25,14.04.2025,IPH — Institute of Public Health,< 10,320/0587/25,14.04.2025,IPH — Institute of Public Health,Absent | Отсутна,320/0587/25,14.04.2025,IPH — Institute of Public Health,Absent | Отсутна,320/0587/25,14.04.2025,IPH — Institute of Public Health,upon request — not required for release,—,—,—,upon request — not required for release,—,—,—,ND,197-9-М/26,10.08.2026,Farmahem,ND,197-9-М/26,10.08.2026,Farmahem,ND,197-9-М/26,10.08.2026,Farmahem,0.02,1766/2025,11.04.2025,IPH — Institute of Public Health,0.007,1766/2025,11.04.2025,IPH — Institute of Public Health,0.015,1766/2025,11.04.2025,IPH — Institute of Public Health,0.005,1766/2025,11.04.2025,IPH — Institute of Public Health,ND,1766/2025,11.04.2025,IPH — Institute of Public Health
CoQ-PP_26-094,reissue — retest,issuable,17.08.2026,CoQ-PP_26-020 of 06.06.2026,(assigned on issue),GP052501,P050152,Grape Pie,],25.09.2025,—,25.09.2025,iCoA-PP_26-107,27.07.2026,22.07.2026,Tranche 1,18.52,197-10-К/26,III,18.00 – 21.99 %,GP_THC20 : CBD1,QCSP_001_GP-III_v.01,"for review — replaces the issued QCSP_001_GP-III_v.01 (was GP_THC24 : CBD1, 22.61 – 25.39 %); now GP_THC20 : CBD1 18.00 – 21.99 %",HYBRID,THC,MACHINE TRIMMED,INDICA-DOMINANT,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",10.08.2026,Conforms | Одговара,iCoA-PP_26-107,27.07.2026,Purely Plant GmbH (in-house),Conforms | Одговара,iCoA-PP_26-107,27.07.2026,Purely Plant GmbH (in-house),Conforms | Одговара,197-10-К/26,07.08.2026,Farmahem,18.52,197-10-К/26,07.08.2026,Farmahem,< LOQ,197-10-К/26,07.08.2026,Farmahem,< LOQ,197-10-К/26,07.08.2026,Farmahem,Conforms | Одговара,iCoA-PP_26-107,27.07.2026,Purely Plant GmbH (in-house),7.30,ППК25279,19.09.2025,UKIM Faculty of Pharmacy — Center for Natural Products,2.1 × 10⁴,946/1684/25,17.09.2025,IPH — Institute of Public Health,3.6 × 10⁴,946/1684/25,17.09.2025,IPH — Institute of Public Health,< 10² and > 10¹,946/1684/25,17.09.2025,IPH — Institute of Public Health,Absent | Отсутна,946/1684/25,17.09.2025,IPH — Institute of Public Health,Absent | Отсутна,946/1684/25,17.09.2025,IPH — Institute of Public Health,upon request — not required for release,—,—,—,upon request — not required for release,—,—,—,ND,197-10-М/26,10.08.2026,Farmahem,ND,197-10-М/26,10.08.2026,Farmahem,ND,197-10-М/26,10.08.2026,Farmahem,0.06,4348/2025,15.09.2025,IPH — Institute of Public Health,ND,4348/2025,15.09.2025,IPH — Institute of Public Health,ND,4348/2025,15.09.2025,IPH — Institute of Public Health,ND,4348/2025,15.09.2025,IPH — Institute of Public Health,ND,4348/2025,15.09.2025,IPH — Institute of Public Health
CoQ-PP_26-095,reissue — retest,issuable,17.08.2026,CoQ-PP_26-007 of 06.06.2026,CoQ-PP-2026-0032,GP0824_02,P050022,Grape Pie,22.04.2025 – 23.04.2025,03.06.2025 – 11.06.2025,22.04.2025,03.06.2025,iCoA-PP_26-108,27.07.2026,22.07.2026,Tranche 1,22.61,197-11-К/26,II,22.00 – 25.99 %,GP_THC24 : CBD1,QCSP_001_GP-II_v.01,"for review — replaces the issued QCSP_001_GP-II_v.01 (was GP_THC26 : CBD1, 25.40 – 26.60 %); now GP_THC24 : CBD1 22.00 – 25.99 %",HYBRID,THC,MACHINE TRIMMED,INDICA-DOMINANT,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",10.08.2026,Conforms | Одговара,iCoA-PP_26-108,27.07.2026,Purely Plant GmbH (in-house),Conforms | Одговара,iCoA-PP_26-108,27.07.2026,Purely Plant GmbH (in-house),Conforms | Одговара,197-11-К/26,07.08.2026,Farmahem,22.61,197-11-К/26,07.08.2026,Farmahem,< LOQ,197-11-К/26,07.08.2026,Farmahem,0.23,197-11-К/26,07.08.2026,Farmahem,Conforms | Одговара,iCoA-PP_26-108,27.07.2026,Purely Plant GmbH (in-house),7.21,ППК25139,22.05.2025,UKIM Faculty of Pharmacy — Center for Natural Products,< 10,627/1128/25,02.07.2025,IPH — Institute of Public Health,< 10,627/1128/25,02.07.2025,IPH — Institute of Public Health,< 10,627/1128/25,02.07.2025,IPH — Institute of Public Health,Absent | Отсутна,627/1128/25,02.07.2025,IPH — Institute of Public Health,Absent | Отсутна,627/1128/25,02.07.2025,IPH — Institute of Public Health,upon request — not required for release,—,—,—,upon request — not required for release,—,—,—,ND,197-11-М/26,10.08.2026,Farmahem,ND,197-11-М/26,10.08.2026,Farmahem,ND,197-11-М/26,10.08.2026,Farmahem,ND,3176/2025,26.06.2025,IPH — Institute of Public Health,ND,3176/2025,26.06.2025,IPH — Institute of Public Health,0.047,3176/2025,26.06.2025,IPH — Institute of Public Health,ND,3176/2025,26.06.2025,IPH — Institute of Public Health,ND,3176/2025,26.06.2025,IPH — Institute of Public Health
CoQ-PP_26-096,reissue — retest,issuable,17.08.2026,CoQ-PP_26-036 of 06.06.2026,(assigned on issue),GP082501/2,P050322,Grape Pie,20.11.2025,26.12.2025,20.11.2025,26.12.2025,iCoA-PP_26-111,27.07.2026,23.07.2026,Tranche 1,15.70,197-12-К/26,IV,14.40 – 17.59 %,GP_THC16 : CBD1,QCSP_001_GP-IV_v.01,"for review — replaces the issued QCSP_001_GP-IV_v.01 (was GP_THC20 : CBD1, 18.00 – 22.00 %); now GP_THC16 : CBD1 14.40 – 17.59 %",HYBRID,THC,MACHINE TRIMMED,INDICA-DOMINANT,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",10.08.2026,Conforms | Одговара,iCoA-PP_26-111,27.07.2026,Purely Plant GmbH (in-house),Conforms | Одговара,iCoA-PP_26-111,27.07.2026,Purely Plant GmbH (in-house),Conforms | Одговара,197-12-К/26,07.08.2026,Farmahem,15.70,197-12-К/26,07.08.2026,Farmahem,< LOQ,197-12-К/26,07.08.2026,Farmahem,< LOQ,197-12-К/26,07.08.2026,Farmahem,Conforms | Одговара,iCoA-PP_26-111,27.07.2026,Purely Plant GmbH (in-house),6.88,ППК25381,12.12.2025,CNP,3.2 × 10³,1227/2193/25,05.12.2025,IPH — Institute of Public Health,5.8 × 10³,1227/2193/25,05.12.2025,IPH — Institute of Public Health,< 10⁴ and > 10³,1227/2193/25,05.12.2025,IPH — Institute of Public Health,Absent | Отсутна,1227/2193/25,05.12.2025,IPH — Institute of Public Health,Absent | Отсутна,1227/2193/25,05.12.2025,IPH — Institute of Public Health,upon request — not required for release,—,—,—,upon request — not required for release,—,—,—,ND,197-12-М/26,10.08.2026,Farmahem,ND,197-12-М/26,10.08.2026,Farmahem,ND,197-12-М/26,10.08.2026,Farmahem,0.013,5889/2025,12.12.2025,IPH — Institute of Public Health,0.003,5889/2025,12.12.2025,IPH — Institute of Public Health,0.02,5889/2025,12.12.2025,IPH — Institute of Public Health,0.016,5889/2025,12.12.2025,IPH — Institute of Public Health,ND,5889/2025,12.12.2025,IPH — Institute of Public Health
CoQ-PP_26-097,reissue — retest,issuable,17.08.2026,CoQ-PP_26-005 of 06.06.2026,CoQ-PP-2026-0030,HPA1024,HPA1024,High Pro Amnesia,22.01.2025,11.04.2025,22.01.2025,11.04.2025,iCoA-PP_26-112,27.07.2026,23.07.2026,Tranche 1,17.31,197-13-К/26,II,16.20 – 19.79 %,HPA_THC18 : CBD1,QCSP_001_HPA-II_v.01,"for review — replaces the issued QCSP_001_HPA-II_v.01 (was HPA_THC20 : CBD1, 19.01 – 20.99 %); now HPA_THC18 : CBD1 16.20 – 19.79 %",SATIVA,THC,MACHINE TRIMMED,—,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",10.08.2026,Conforms | Одговара,iCoA-PP_26-112,27.07.2026,Purely Plant GmbH (in-house),Conforms | Одговара,iCoA-PP_26-112,27.07.2026,Purely Plant GmbH (in-house),Conforms | Одговара,197-13-К/26,07.08.2026,Farmahem,17.31,197-13-К/26,07.08.2026,Farmahem,< LOQ,197-13-К/26,07.08.2026,Farmahem,0.36,197-13-К/26,07.08.2026,Farmahem,Conforms | Одговара,iCoA-PP_26-112,27.07.2026,Purely Plant GmbH (in-house),carried from the initial testing — not tested,—,—,—,5.2 × 10⁴,iCoA-PP_26-005,03.06.2026,Purely Plant GmbH (in-house),7 × 10²,iCoA-PP_26-005,03.06.2026,Purely Plant GmbH (in-house),< 10,iCoA-PP_26-005,03.06.2026,Purely Plant GmbH (in-house),Absent | Отсутна,iCoA-PP_26-005,03.06.2026,Purely Plant GmbH (in-house),Absent | Отсутна,iCoA-PP_26-005,03.06.2026,Purely Plant GmbH (in-house),upon request — not required for release,—,—,—,upon request — not required for release,—,—,—,ND,197-13-М/26,10.08.2026,Farmahem,ND,197-13-М/26,10.08.2026,Farmahem,< LOQ,197-13-М/26,10.08.2026,Farmahem,0.02,iCoA-PP_26-005,03.06.2026,Purely Plant GmbH (in-house),0.013,iCoA-PP_26-005,03.06.2026,Purely Plant GmbH (in-house),0.017,iCoA-PP_26-005,03.06.2026,Purely Plant GmbH (in-house),0.0026,iCoA-PP_26-005,03.06.2026,Purely Plant GmbH (in-house),ND,iCoA-PP_26-005,03.06.2026,Purely Plant GmbH (in-house)
CoQ-PP_26-098,reissue — retest,issuable,17.08.2026,CoQ-PP_26-011 of 06.06.2026,CoQ-PP-2026-0034,HPA1024_01,P050052,High Pro Amnesia,27.05.2025 – 28.05.2025,27.06.2025 – 04.07.2025,27.05.2025,27.06.2025,iCoA-PP_26-113,27.07.2026,23.07.2026,Tranche 1,21.61,197-14-К/26,I,19.80 – 24.19 %,HPA_THC22 : CBD1,QCSP_001_HPA-I_v.01,"for review — replaces the issued QCSP_001_HPA-I_v.01 (was HPA_THC22 : CBD1, 21.00 – 23.00 %); now HPA_THC22 : CBD1 19.80 – 24.19 %",SATIVA,THC,MACHINE TRIMMED,—,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",10.08.2026,Conforms | Одговара,iCoA-PP_26-113,27.07.2026,Purely Plant GmbH (in-house),Conforms | Одговара,iCoA-PP_26-113,27.07.2026,Purely Plant GmbH (in-house),Conforms | Одговара,197-14-К/26,07.08.2026,Farmahem,21.61,197-14-К/26,07.08.2026,Farmahem,< LOQ,197-14-К/26,07.08.2026,Farmahem,< LOQ,197-14-К/26,07.08.2026,Farmahem,Conforms | Одговара,iCoA-PP_26-113,27.07.2026,Purely Plant GmbH (in-house),6.36,ППК25155,24.06.2025,UKIM Faculty of Pharmacy — Center for Natural Products,9.6 × 10³,587/1066/25,18.06.2025,IPH — Institute of Public Health,1.5 × 10⁴,587/1066/25,18.06.2025,IPH — Institute of Public Health,< 10,587/1066/25,18.06.2025,IPH — Institute of Public Health,Absent | Отсутна,587/1066/25,18.06.2025,IPH — Institute of Public Health,Absent | Отсутна,587/1066/25,18.06.2025,IPH — Institute of Public Health,upon request — not required for release,—,—,—,upon request — not required for release,—,—,—,ND,197-14-М/26,10.08.2026,Farmahem,ND,197-14-М/26,10.08.2026,Farmahem,"2.06 — DETECTED, >LOQ",197-14-М/26,10.08.2026,Farmahem,0.059,2995/2025,19.06.2025,IPH — Institute of Public Health,0.014,2995/2025,19.06.2025,IPH — Institute of Public Health,0.037,2995/2025,19.06.2025,IPH — Institute of Public Health,0.008,2995/2025,19.06.2025,IPH — Institute of Public Health,ND,2995/2025,19.06.2025,IPH — Institute of Public Health
CoQ-PP_26-099,reissue — retest,issuable,17.08.2026,CoQ-PP_26-051 of 06.06.2026,(assigned on issue),J31102501,P060152,Jokerz 31,21.01.2026,05.03.2026,21.01.2026,05.03.2026,iCoA-PP_26-114,27.07.2026,23.07.2026,Tranche 1,17.32,197-16-К/26,III,16.20 – 19.79 %,J31_THC18 : CBD1,QCSP_001_J31-III_v.01,for review — new,HYBRID,THC,MACHINE TRIMMED,INDICA 70 : SATIVA 30,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",10.08.2026,Conforms | Одговара,iCoA-PP_26-114,27.07.2026,Purely Plant GmbH (in-house),Conforms | Одговара,iCoA-PP_26-114,27.07.2026,Purely Plant GmbH (in-house),Conforms | Одговара,197-16-К/26,07.08.2026,Farmahem,17.32,197-16-К/26,07.08.2026,Farmahem,< LOQ,197-16-К/26,07.08.2026,Farmahem,< LOQ,197-16-К/26,07.08.2026,Farmahem,Conforms | Одговара,iCoA-PP_26-114,27.07.2026,Purely Plant GmbH (in-house),6.3,051-1-ГС/26,02.03.2026,Farmahem,1.6 × 10²,133/0230/26,06.03.2026,IPH — Institute of Public Health,1.9 × 10²,133/0230/26,06.03.2026,IPH — Institute of Public Health,< 10,133/0230/26,06.03.2026,IPH — Institute of Public Health,Absent | Отсутна,133/0230/26,06.03.2026,IPH — Institute of Public Health,Absent | Отсутна,133/0230/26,06.03.2026,IPH — Institute of Public Health,upon request — not required for release,—,—,—,upon request — not required for release,—,—,—,ND,197-16-М/26,10.08.2026,Farmahem,ND,197-16-М/26,10.08.2026,Farmahem,ND,197-16-М/26,10.08.2026,Farmahem,0.061,1056/2026,09.03.2026,IPH — Institute of Public Health,ND,1056/2026,09.03.2026,IPH — Institute of Public Health,ND,1056/2026,09.03.2026,IPH — Institute of Public Health,ND,1056/2026,09.03.2026,IPH — Institute of Public Health,ND mg/kg — all 25 residues,1056/2026,09.03.2026,IJZ
CoQ-PP_26-100,reissue — retest,issuable,17.08.2026,CoQ-PP_26-057 of 06.06.2026,(assigned on issue),JD112501,P060212,Jelly Donuts,25.03.2026,21.04.2026,25.03.2026,21.04.2026,iCoA-PP_26-115,27.07.2026,23.07.2026,Tranche 1,20.32,197-15-К/26,I,19.80 – 24.19 %,JD_THC22 : CBD1,QCSP_001_JD-I_v.01,"for review — replaces the issued QCSP_001_JD-I_v.01 (was JD_THC20 : CBD1, 18.00 – 22.00 %); now JD_THC22 : CBD1 19.80 – 24.19 %",HYBRID,THC,MACHINE TRIMMED,SATIVA 60 : INDICA 40,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",10.08.2026,Conforms | Одговара,iCoA-PP_26-115,27.07.2026,Purely Plant GmbH (in-house),Conforms | Одговара,iCoA-PP_26-115,27.07.2026,Purely Plant GmbH (in-house),Conforms | Одговара,197-15-К/26,07.08.2026,Farmahem,20.32,197-15-К/26,07.08.2026,Farmahem,< LOQ,197-15-К/26,07.08.2026,Farmahem,< LOQ,197-15-К/26,07.08.2026,Farmahem,Conforms | Одговара,iCoA-PP_26-115,27.07.2026,Purely Plant GmbH (in-house),6.69,ППК26063,11.05.2026,UKIM Faculty of Pharmacy — Center for Natural Products,"2,6 × 10³",307/0551/26,28.04.2026,IPH — Institute of Public Health,"3,3 × 10³",307/0551/26,28.04.2026,IPH — Institute of Public Health,< 10³ and > 10²,307/0551/26,28.04.2026,IPH — Institute of Public Health,Absent | Отсутна,307/0551/26,28.04.2026,IPH — Institute of Public Health,Absent | Отсутна,307/0551/26,28.04.2026,IPH — Institute of Public Health,upon request — not required for release,—,—,—,upon request — not required for release,—,—,—,ND,197-15-М/26,10.08.2026,Farmahem,ND,197-15-М/26,10.08.2026,Farmahem,ND,197-15-М/26,10.08.2026,Farmahem,0.022,2361/2026,30.04.2026,IPH — Institute of Public Health,0.0149,2361/2026,30.04.2026,IPH — Institute of Public Health,0.02,2361/2026,30.04.2026,IPH — Institute of Public Health,0.0166,2361/2026,30.04.2026,IPH — Institute of Public Health,ND,2361/2026,30.04.2026,IPH — Institute of Public Health
CoQ-PP_26-101,reissue — retest,issuable,17.08.2026,CoQ-PP_26-006 of 06.06.2026,CoQ-PP-2026-0031,OPM1024,OPM1024,Orange Punch Mimosa,21.01.2025,24.04.2025 – 25.04.2025,21.01.2025,24.04.2025,iCoA-PP_26-116,27.07.2026,24.07.2026,Tranche 1,20.03,197-17-К/26,I,18.60 – 21.39 %,OPM_THC20 : CBD1,QCSP_001_OPM-I_v.01,"for review — replaces the issued QCSP_001_OPM-I_v.01 (was OPM_THC22 : CBD1, 19.81 – 24.19 %); now OPM_THC20 : CBD1 18.60 – 21.39 %",INDICA,THC,MACHINE TRIMMED,—,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",10.08.2026,Conforms | Одговара,iCoA-PP_26-116,27.07.2026,Purely Plant GmbH (in-house),Conforms | Одговара,iCoA-PP_26-116,27.07.2026,Purely Plant GmbH (in-house),Conforms | Одговара,197-17-К/26,07.08.2026,Farmahem,20.03,197-17-К/26,07.08.2026,Farmahem,< LOQ,197-17-К/26,07.08.2026,Farmahem,< LOQ,197-17-К/26,07.08.2026,Farmahem,Conforms | Одговара,iCoA-PP_26-116,27.07.2026,Purely Plant GmbH (in-house),carried from the initial testing — not tested,—,—,—,1.3 × 10⁴,iCoA-PP_26-006,03.06.2026,Purely Plant GmbH (in-house),7 × 10²,iCoA-PP_26-006,03.06.2026,Purely Plant GmbH (in-house),< 10² > 10³,iCoA-PP_26-006,03.06.2026,Purely Plant GmbH (in-house),Absent | Отсутна,iCoA-PP_26-006,03.06.2026,Purely Plant GmbH (in-house),Absent | Отсутна,iCoA-PP_26-006,03.06.2026,Purely Plant GmbH (in-house),upon request — not required for release,—,—,—,upon request — not required for release,—,—,—,ND,197-17-М/26,10.08.2026,Farmahem,ND,197-17-М/26,10.08.2026,Farmahem,ND,197-17-М/26,10.08.2026,Farmahem,0.031,iCoA-PP_26-006,03.06.2026,Purely Plant GmbH (in-house),0.017,iCoA-PP_26-006,03.06.2026,Purely Plant GmbH (in-house),0.045,iCoA-PP_26-006,03.06.2026,Purely Plant GmbH (in-house),0.005,iCoA-PP_26-006,03.06.2026,Purely Plant GmbH (in-house),ND,iCoA-PP_26-006,03.06.2026,Purely Plant GmbH (in-house)
CoQ-PP_26-102,reissue — retest,issuable,17.08.2026,CoQ-PP_26-012 of 06.06.2026,CoQ-PP-2026-0035,OPM1024_02,P050062,Orange Punch Mimosa,29.05.2025 – 30.05.2025,04.07.2025 – 10.07.2025,29.05.2025,04.07.2025,iCoA-PP_26-117,27.07.2026,24.07.2026,Tranche 1,18.04,197-18-К/26,II,15.40 – 18.59 %,OPM_THC17 : CBD1,QCSP_001_OPM-II_v.01,"for review — replaces the issued QCSP_001_OPM-II_v.01 (was OPM_THC18 : CBD1, 16.20 – 19.80 %); now OPM_THC17 : CBD1 15.40 – 18.59 %",INDICA,THC,MACHINE TRIMMED,—,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",10.08.2026,Conforms | Одговара,iCoA-PP_26-117,27.07.2026,Purely Plant GmbH (in-house),Conforms | Одговара,iCoA-PP_26-117,27.07.2026,Purely Plant GmbH (in-house),Conforms | Одговара,197-18-К/26,07.08.2026,Farmahem,18.04,197-18-К/26,07.08.2026,Farmahem,< LOQ,197-18-К/26,07.08.2026,Farmahem,< LOQ,197-18-К/26,07.08.2026,Farmahem,Conforms | Одговара,iCoA-PP_26-117,27.07.2026,Purely Plant GmbH (in-house),6.89,ППК25154,24.06.2025,UKIM Faculty of Pharmacy — Center for Natural Products,3.4 × 10³,588/1067/25,18.06.2025,IPH — Institute of Public Health,3.6 × 10³,588/1067/25,18.06.2025,IPH — Institute of Public Health,< 10,588/1067/25,18.06.2025,IPH — Institute of Public Health,Absent | Отсутна,588/1067/25,18.06.2025,IPH — Institute of Public Health,Absent | Отсутна,588/1067/25,18.06.2025,IPH — Institute of Public Health,upon request — not required for release,—,—,—,upon request — not required for release,—,—,—,ND,197-18-М/26,10.08.2026,Farmahem,ND,197-18-М/26,10.08.2026,Farmahem,ND,197-18-М/26,10.08.2026,Farmahem,0.052,2994/2025,19.06.2025,IPH — Institute of Public Health,0.011,2994/2025,19.06.2025,IPH — Institute of Public Health,0.028,2994/2025,19.06.2025,IPH — Institute of Public Health,0.061,2994/2025,19.06.2025,IPH — Institute of Public Health,ND,2994/2025,19.06.2025,IPH — Institute of Public Health
CoQ-PP_26-103,reissue — retest,issuable,17.08.2026,CoQ-PP_26-060 of 06.06.2026,(assigned on issue),OPM122501,P060242,Orange Punch Mimosa,11.03.2026,28.04.2026,11.03.2026,28.04.2026,iCoA-PP_26-118,27.07.2026,24.07.2026,Tranche 1,7.91,197-19-К/26,V,7.20 – 8.79 %,OPM_THC8 : CBD1,QCSP_001_OPM-V_v.01,"for review — replaces the issued QCSP_001_OPM-V_v.01 (was OPM_THC8 : CBD1, 7.20 – 8.80 %); now OPM_THC8 : CBD1 7.20 – 8.79 %",INDICA,THC,MACHINE TRIMMED,—,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",10.08.2026,Conforms | Одговара,iCoA-PP_26-118,27.07.2026,Purely Plant GmbH (in-house),Conforms | Одговара,iCoA-PP_26-118,27.07.2026,Purely Plant GmbH (in-house),Conforms | Одговара,197-19-К/26,07.08.2026,Farmahem,7.91,197-19-К/26,07.08.2026,Farmahem,< LOQ,197-19-К/26,07.08.2026,Farmahem,< LOQ,197-19-К/26,07.08.2026,Farmahem,Conforms | Одговара,iCoA-PP_26-118,27.07.2026,Purely Plant GmbH (in-house),6.6,100-4-ГС/26,09.04.2026,Farmahem,120,229/0392/26,07.04.2026,IPH — Institute of Public Health,100,229/0392/26,07.04.2026,IPH — Institute of Public Health,< 10,229/0392/26,07.04.2026,IPH — Institute of Public Health,Absent | Отсутна,229/0392/26,07.04.2026,IPH — Institute of Public Health,Absent | Отсутна,229/0392/26,07.04.2026,IPH — Institute of Public Health,upon request — not required for release,—,—,—,upon request — not required for release,—,—,—,ND,197-19-М/26,10.08.2026,Farmahem,ND,197-19-М/26,10.08.2026,Farmahem,ND,197-19-М/26,10.08.2026,Farmahem,0.049,1627/2026,23.04.2026,IPH — Institute of Public Health,0.165,1627/2026,23.04.2026,IPH — Institute of Public Health,ND,1627/2026,23.04.2026,IPH — Institute of Public Health,ND,1627/2026,23.04.2026,IPH — Institute of Public Health,ND,1627/2026,23.04.2026,IPH — Institute of Public Health
