tranche	status	coq	p_lot	cultivation_batch	issued	date_before	date_after	row	parameter	before	before_source	after	after_source
T2	proposed	CoQ-PP_26-014	P050082	OPM1024_03	yes	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T2	proposed	CoQ-PP_26-017	P050112	MB0824_05	yes	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T2	proposed	CoQ-PP_26-017	P050112	MB0824_05	yes	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T2	proposed	CoQ-PP_26-024	P050182	HPA052501	yes	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T2	proposed	CoQ-PP_26-024	P050182	HPA052501	yes	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T2	proposed	CoQ-PP_26-025	P050192	BSS052501	yes	06.06.2026	25.08.2026	3	Identification C (HPLC)	[ — ]		Conforms	220-2-К/26
T2	proposed	CoQ-PP_26-025	P050192	BSS052501	yes	06.06.2026	25.08.2026	6	Total CBN	[ — ]		< LOQ	220-2-К/26
T2	proposed	CoQ-PP_26-025	P050192	BSS052501	yes	06.06.2026	25.08.2026	10.2	Aflatoxins total	[ — ]		n/t	
T2	proposed	CoQ-PP_26-028	P050222	CJ062501/1	yes	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T2	proposed	CoQ-PP_26-028	P050222	CJ062501/1	yes	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T2	proposed	CoQ-PP_26-034	P050302	GP072501/2	yes	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T2	proposed	CoQ-PP_26-034	P050302	GP072501/2	yes	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T2	proposed	CoQ-PP_26-035	P050312	GP082501/1	yes	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T2	proposed	CoQ-PP_26-035	P050312	GP082501/1	yes	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T2	proposed	CoQ-PP_26-037	P060012	WC082501	yes	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T2	proposed	CoQ-PP_26-037	P060012	WC082501	yes	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T2	proposed	CoQ-PP_26-038	P060022	CJ082501/1	yes	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T2	proposed	CoQ-PP_26-038	P060022	CJ082501/1	yes	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T2	proposed	CoQ-PP_26-043	P060072	CJ092501	yes	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T2	proposed	CoQ-PP_26-043	P060072	CJ092501	yes	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T2	proposed	CoQ-PP_26-045	P060092	GP092501	yes	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T2	proposed	CoQ-PP_26-045	P060092	GP092501	yes	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T2	proposed	CoQ-PP_26-047	P060112	PUM102501	yes	06.06.2026	26.08.2026	4	Total THC	[ — ]		13.95	220-25-К/26
T2	proposed	CoQ-PP_26-047	P060112	PUM102501	yes	06.06.2026	26.08.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T2	proposed	CoQ-PP_26-047	P060112	PUM102501	yes	06.06.2026	26.08.2026	10.3	Ochratoxin A	[ — ]		n/t	
T2	proposed	CoQ-PP_26-048	P060122	ACC102501	yes	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T2	proposed	CoQ-PP_26-048	P060122	ACC102501	yes	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T2	proposed	CoQ-PP_26-049	P060132	CF102501	yes	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T2	proposed	CoQ-PP_26-049	P060132	CF102501	yes	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T2	proposed	CoQ-PP_26-053	P060172	KC102501	yes	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T2	proposed	CoQ-PP_26-053	P060172	KC102501	yes	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T2	proposed	CoQ-PP_26-054	P060182	GRC102501/2	yes	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T2	proposed	CoQ-PP_26-054	P060182	GRC102501/2	yes	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T2	proposed	CoQ-PP_26-059	P060232	PM112501	yes	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T2	proposed	CoQ-PP_26-059	P060232	PM112501	yes	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T2	proposed	CoQ-PP_26-064	P060282	SCR112501	yes	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T2	proposed	CoQ-PP_26-064	P060282	SCR112501	yes	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T2	proposed	CoQ-PP_26-069	P060322	FB012601/1	yes	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T2	proposed	CoQ-PP_26-069	P060322	FB012601/1	yes	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T2	proposed	CoQ-PP_26-071	P060362	JD012603/01	yes	06.06.2026	25.08.2026	3	Identification C (HPLC)	[ — ]		Conforms	220-16-К/26
T2	proposed	CoQ-PP_26-071	P060362	JD012603/01	yes	06.06.2026	25.08.2026	4	Total THC	[ — ]		21.01	220-16-К/26
T2	proposed	CoQ-PP_26-071	P060362	JD012603/01	yes	06.06.2026	25.08.2026	5	Total CBD	[ — ]		< LOQ	220-16-К/26
T2	proposed	CoQ-PP_26-071	P060362	JD012603/01	yes	06.06.2026	25.08.2026	6	Total CBN	[ — ]		< LOQ	220-16-К/26
T2	proposed	CoQ-PP_26-071	P060362	JD012603/01	yes	06.06.2026	25.08.2026	8	Loss on drying	[ — ]		n/t	
T2	proposed	CoQ-PP_26-071	P060362	JD012603/01	yes	06.06.2026	25.08.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T2	proposed	CoQ-PP_26-071	P060362	JD012603/01	yes	06.06.2026	25.08.2026	10.2	Aflatoxins total	[ — ]		n/t	
T2	proposed	CoQ-PP_26-071	P060362	JD012603/01	yes	06.06.2026	25.08.2026	10.3	Ochratoxin A	[ — ]		n/t	
T2	proposed	CoQ-PP_26-071	P060362	JD012603/01	yes	06.06.2026	25.08.2026	11.1	Lead	[ — ]		n/t	
T2	proposed	CoQ-PP_26-071	P060362	JD012603/01	yes	06.06.2026	25.08.2026	11.2	Cadmium	[ — ]		n/t	
T2	proposed	CoQ-PP_26-071	P060362	JD012603/01	yes	06.06.2026	25.08.2026	11.3	Arsenic	[ — ]		n/t	
T2	proposed	CoQ-PP_26-071	P060362	JD012603/01	yes	06.06.2026	25.08.2026	11.4	Mercury	[ — ]		n/t	
T2	proposed	CoQ-PP_26-071	P060362	JD012603/01	yes	06.06.2026	25.08.2026	12	Pesticide residues	[ — ]		n/t	
T2	proposed	CoQ-PP_26-072	P060372	CC012603	yes	06.06.2026	26.08.2026	3	Identification C (HPLC)	[ — ]		Conforms	220-29-К/26
T2	proposed	CoQ-PP_26-072	P060372	CC012603	yes	06.06.2026	26.08.2026	4	Total THC	[ — ]		14.76	220-29-К/26
T2	proposed	CoQ-PP_26-072	P060372	CC012603	yes	06.06.2026	26.08.2026	5	Total CBD	[ — ]		< LOQ	220-29-К/26
T2	proposed	CoQ-PP_26-072	P060372	CC012603	yes	06.06.2026	26.08.2026	6	Total CBN	[ — ]		< LOQ	220-29-К/26
T2	proposed	CoQ-PP_26-072	P060372	CC012603	yes	06.06.2026	26.08.2026	8	Loss on drying	[ — ]		n/t	
T2	proposed	CoQ-PP_26-072	P060372	CC012603	yes	06.06.2026	26.08.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T2	proposed	CoQ-PP_26-072	P060372	CC012603	yes	06.06.2026	26.08.2026	10.2	Aflatoxins total	[ — ]		n/t	
T2	proposed	CoQ-PP_26-072	P060372	CC012603	yes	06.06.2026	26.08.2026	10.3	Ochratoxin A	[ — ]		n/t	
T2	proposed	CoQ-PP_26-072	P060372	CC012603	yes	06.06.2026	26.08.2026	11.1	Lead	[ — ]		n/t	
T2	proposed	CoQ-PP_26-072	P060372	CC012603	yes	06.06.2026	26.08.2026	11.2	Cadmium	[ — ]		n/t	
T2	proposed	CoQ-PP_26-072	P060372	CC012603	yes	06.06.2026	26.08.2026	11.3	Arsenic	[ — ]		n/t	
T2	proposed	CoQ-PP_26-072	P060372	CC012603	yes	06.06.2026	26.08.2026	11.4	Mercury	[ — ]		n/t	
T2	proposed	CoQ-PP_26-072	P060372	CC012603	yes	06.06.2026	26.08.2026	12	Pesticide residues	[ — ]		n/t	
T2	proposed	CoQ-PP_26-076	P060422	JD012603/02V	yes	07.07.2026	07.07.2026	1	Identification A	Conforms	iCoA-PP_26-076	Conforms	ППК26111
T2	proposed	CoQ-PP_26-076	P060422	JD012603/02V	yes	07.07.2026	07.07.2026	2	Identification B	Conforms	iCoA-PP_26-076	Conforms	ППК26111
T2	proposed	CoQ-PP_26-076	P060422	JD012603/02V	yes	07.07.2026	07.07.2026	7	Foreign matter	Conforms	iCoA-PP_26-076	Conforms	ППК26111
T2	proposed	CoQ-PP_26-076	P060422	JD012603/02V	yes	07.07.2026	07.07.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T2	proposed	CoQ-PP_26-076	P060422	JD012603/02V	yes	07.07.2026	07.07.2026	10.3	Ochratoxin A	[ — ]		n/t	
T2	proposed	CoQ-PP_26-078	P060412	JD012603/02	yes	07.07.2026	07.07.2026	1	Identification A	Conforms	iCoA-PP_26-078	Conforms	ППК26113
T2	proposed	CoQ-PP_26-078	P060412	JD012603/02	yes	07.07.2026	07.07.2026	2	Identification B	Conforms	iCoA-PP_26-078	Conforms	ППК26113
T2	proposed	CoQ-PP_26-078	P060412	JD012603/02	yes	07.07.2026	07.07.2026	7	Foreign matter	Conforms	iCoA-PP_26-078	Conforms	ППК26113
T2	proposed	CoQ-PP_26-078	P060412	JD012603/02	yes	07.07.2026	07.07.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T2	proposed	CoQ-PP_26-078	P060412	JD012603/02	yes	07.07.2026	07.07.2026	10.3	Ochratoxin A	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-001		CJ1024	no	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-001		CJ1024	no	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-008	P050012	GG1024_02	no	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-008	P050012	GG1024_02	no	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-009	P050032	MB0824_04	no	06.06.2026	11.09.2026	6	Total CBN	[ — ]		< LOQ	227-12-К/26
T3	applied 26.09	CoQ-PP_26-009	P050032	MB0824_04	no	06.06.2026	11.09.2026	10.1	Aflatoxin B1	[ — ]		n/t	
