CoQ code,Series,Batch (cultivation),P lot,Strain,Date of issue,#,Parameter,Method,Acceptance criterion,Result,Document,Issued,Laboratory,Received by the laboratory,Status,Route,Also on file
CoQ-PP_26-003,release,BG1024,BG1024,Blue Gelato,06.06.2026,9.6,Pseudomonas aeruginosa,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,upon request — not required for release,—,—,—,—,upon request — not required for release,,
CoQ-PP_26-003,release,BG1024,BG1024,Blue Gelato,06.06.2026,9.7,Staphylococcus aureus,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,upon request — not required for release,—,—,—,—,upon request — not required for release,,
CoQ-PP_26-003,release,BG1024,BG1024,Blue Gelato,06.06.2026,10.1,Aflatoxin B₁,Ph. Eur. 2.8.18 (HPLC-FLD),≤ 2 µg/kg,not tested,—,—,—,—,not tested — no certificate covers it,,ND (197-1-М/26)
CoQ-PP_26-003,release,BG1024,BG1024,Blue Gelato,06.06.2026,10.2,Aflatoxins ∑,Ph. Eur. 2.8.18 (HPLC-FLD),≤ 4 µg/kg,< 2,752/2025,27.02.2025,IPH — Institute of Public Health,13.02.2025,covered,,ND (197-1-М/26)
CoQ-PP_26-003,release,BG1024,BG1024,Blue Gelato,06.06.2026,10.3,Ochratoxin A,Ph. Eur. 2.8.22 (HPLC-FLD),≤ 20 µg/kg,not tested,—,—,—,—,not tested — no certificate covers it,,ND (197-1-М/26)
CoQ-PP_26-003,release,BG1024,BG1024,Blue Gelato,06.06.2026,11.1,Lead (Pb),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.5 mg/kg,0.01,752/2025,27.02.2025,IPH — Institute of Public Health,13.02.2025,covered,,
CoQ-PP_26-003,release,BG1024,BG1024,Blue Gelato,06.06.2026,11.2,Cadmium (Cd),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.3 mg/kg,0.016,752/2025,27.02.2025,IPH — Institute of Public Health,13.02.2025,covered,,
CoQ-PP_26-003,release,BG1024,BG1024,Blue Gelato,06.06.2026,11.3,Arsenic (As),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.2 mg/kg,0.014,752/2025,27.02.2025,IPH — Institute of Public Health,13.02.2025,covered,,
CoQ-PP_26-003,release,BG1024,BG1024,Blue Gelato,06.06.2026,11.4,Mercury (Hg),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.1 mg/kg,0.005,752/2025,27.02.2025,IPH — Institute of Public Health,13.02.2025,covered,,
CoQ-PP_26-003,release,BG1024,BG1024,Blue Gelato,06.06.2026,12,Pesticide Residues,Ph. Eur. 2.8.13 (LC-MS/MS) · CUMCS Equivalency,≤ LOQ as per Ph. Eur. 2.8.13 · ≤ LOQ as per CUMCS Equivalency,ND,752/2025,27.02.2025,IPH — Institute of Public Health,13.02.2025,covered,,
CoQ-PP_26-004,release,GG1024,GG1024,Gorilla Glue,06.06.2026,1,"Identification A, Appearance · Macroscopic",Ph. Eur. mon. 3028,Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,Conforms | Одговара,iCoA-PP_26-004,03.06.2026,Purely Plant GmbH (in-house),—,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
CoQ-PP_26-004,release,GG1024,GG1024,Gorilla Glue,06.06.2026,2,Identification B · Microscopic,Ph. Eur. 2.8.23 (microscopy),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,Conforms | Одговара,iCoA-PP_26-004,03.06.2026,Purely Plant GmbH (in-house),—,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
CoQ-PP_26-004,release,GG1024,GG1024,Gorilla Glue,06.06.2026,3,Identification C · HPLC/HPTLC,Ph. Eur. 2.2.29 (3028),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,to be performed (in house),—,—,—,—,to be performed — see route,outside laboratory — the HPLC cannabinoid certificate discharges Ident C (Farmahem -K- or CNP); in-house iCoA P03 only where none exists,
CoQ-PP_26-004,release,GG1024,GG1024,Gorilla Glue,06.06.2026,4,Assay — Total Δ⁹-THC,Ph. Eur. 2.2.29 (HPLC),Per grade of the potency specification of 15.09.2026 — no Total THC result on file,not tested,—,—,—,—,not tested — no certificate covers it,,15.51 (220-9-К/26)
CoQ-PP_26-004,release,GG1024,GG1024,Gorilla Glue,06.06.2026,5,Assay — Total CBD,Ph. Eur. 2.2.29 (HPLC) · CBD + CBDA x 0.877,"≤ 1.0%, w/w",not tested,—,—,—,—,not tested — no certificate covers it,,<LOQ (220-9-К/26)
CoQ-PP_26-004,release,GG1024,GG1024,Gorilla Glue,06.06.2026,6,Total CBN,Ph. Eur. 2.2.29 (HPLC) · CBN + CBNA x 0.876,"≤ 1.0%, w/w",not tested,—,—,—,—,not tested — no certificate covers it,,<LOQ (220-9-К/26)
CoQ-PP_26-004,release,GG1024,GG1024,Gorilla Glue,06.06.2026,7,Foreign Matter,Ph. Eur. 2.8.2 · In-house · интерна,"≤ 2.0% / 25–50 g · < 1 cm leaves | листови, no seeds | без семки",Conforms | Одговара,iCoA-PP_26-004,03.06.2026,Purely Plant GmbH (in-house),—,to be performed — see route,Purely Plant laboratory — iCoA covering Foreign matter,
CoQ-PP_26-004,release,GG1024,GG1024,Gorilla Glue,06.06.2026,8,Loss on Drying,"Ph. Eur. 2.2.32 (3028) · at 40 °C, 24 h, 15–25 mbar",≤ 12.0%,76.07,ППК25008,29.01.2025,CNP,—,OUT OF SPECIFICATION,,
CoQ-PP_26-004,release,GG1024,GG1024,Gorilla Glue,06.06.2026,9.1,TAMC,Ph. Eur. 2.6.12 cat. C,≤ 10⁵ CFU/g,not tested,—,—,—,—,not tested — no certificate covers it,,
CoQ-PP_26-004,release,GG1024,GG1024,Gorilla Glue,06.06.2026,9.2,TYMC,Ph. Eur. 2.6.12 cat. C,≤ 10⁴ CFU/g,not tested,—,—,—,—,not tested — no certificate covers it,,
CoQ-PP_26-004,release,GG1024,GG1024,Gorilla Glue,06.06.2026,9.3,Bile-tolerant gram-neg.,Ph. Eur. 2.6.31 cat. C,≤ 10⁴ CFU/g,not tested,—,—,—,—,not tested — no certificate covers it,,
CoQ-PP_26-004,release,GG1024,GG1024,Gorilla Glue,06.06.2026,9.4,Salmonella,Ph. Eur. 2.6.31 cat. C,Absence | Отсуство / 25 g,not tested,—,—,—,—,not tested — no certificate covers it,,
CoQ-PP_26-004,release,GG1024,GG1024,Gorilla Glue,06.06.2026,9.5,Escherichia coli,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,not tested,—,—,—,—,not tested — no certificate covers it,,
CoQ-PP_26-004,release,GG1024,GG1024,Gorilla Glue,06.06.2026,9.6,Pseudomonas aeruginosa,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,upon request — not required for release,—,—,—,—,upon request — not required for release,,
CoQ-PP_26-004,release,GG1024,GG1024,Gorilla Glue,06.06.2026,9.7,Staphylococcus aureus,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,upon request — not required for release,—,—,—,—,upon request — not required for release,,
CoQ-PP_26-004,release,GG1024,GG1024,Gorilla Glue,06.06.2026,10.1,Aflatoxin B₁,Ph. Eur. 2.8.18 (HPLC-FLD),≤ 2 µg/kg,not tested,—,—,—,—,not tested — no certificate covers it,,ND (220-9-М/26)
CoQ-PP_26-004,release,GG1024,GG1024,Gorilla Glue,06.06.2026,10.2,Aflatoxins ∑,Ph. Eur. 2.8.18 (HPLC-FLD),≤ 4 µg/kg,not tested,—,—,—,—,not tested — no certificate covers it,,ND (220-9-М/26)
