Batch,Cultivation batch,Strain,Certificate,Series,Date of issue,#,Parameter,Result,Document,Issued,Laboratory,Internal,Status
CJ1024,CJ1024,Cup Junky,CoQ-PP_26-142,reissue — 12-month retest,21.09.2026,12,Pesticide Residues,ND,750/2025,27.02.2025,IPH — Institute of Public Health,,carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-002,release,06.06.2026,1,"Identification A, Appearance · Macroscopic",Conforms | Одговара,iCoA-PP_26-002,03.06.2026,Purely Plant GmbH (in-house),yes,to be performed — see route
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-086,reissue — 12-month retest,17.08.2026,1,"Identification A, Appearance · Macroscopic",Conforms | Одговара,iCoA-PP_26-099,27.07.2026,Purely Plant GmbH (in-house),yes,covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-002,release,06.06.2026,2,Identification B · Microscopic,Conforms | Одговара,iCoA-PP_26-002,03.06.2026,Purely Plant GmbH (in-house),yes,to be performed — see route
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-086,reissue — 12-month retest,17.08.2026,2,Identification B · Microscopic,Conforms | Одговара,iCoA-PP_26-099,27.07.2026,Purely Plant GmbH (in-house),yes,covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-002,release,06.06.2026,3,Identification C · HPLC/HPTLC,Conforms | Одговара,ППК25051,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,,covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-086,reissue — 12-month retest,17.08.2026,3,Identification C · HPLC/HPTLC,Conforms | Одговара,197-2-К/26,07.08.2026,Farmahem,,covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-002,release,06.06.2026,4,Assay — Total Δ⁹-THC,21.03,ППК25051,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,,covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-086,reissue — 12-month retest,17.08.2026,4,Assay — Total Δ⁹-THC,25.01,197-2-К/26,07.08.2026,Farmahem,,covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-002,release,06.06.2026,5,Assay — Total CBD,0.04,ППК25051,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,,covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-086,reissue — 12-month retest,17.08.2026,5,Assay — Total CBD,< LOQ,197-2-К/26,07.08.2026,Farmahem,,covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-002,release,06.06.2026,6,Total CBN,0.02,ППК25051,26.02.2025,CNP,,covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-086,reissue — 12-month retest,17.08.2026,6,Total CBN,< LOQ,197-2-К/26,07.08.2026,Farmahem,,covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-002,release,06.06.2026,7,Foreign Matter,Conforms | Одговара,iCoA-PP_26-002,03.06.2026,Purely Plant GmbH (in-house),yes,to be performed — see route
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-086,reissue — 12-month retest,17.08.2026,7,Foreign Matter,Conforms | Одговара,iCoA-PP_26-099,27.07.2026,Purely Plant GmbH (in-house),yes,covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-002,release,06.06.2026,8,Loss on Drying,5.99,ППК25051,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,,covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-086,reissue — 12-month retest,17.08.2026,8,Loss on Drying,5.99,ППК25051,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,,carried from the initial testing (CoQ-PP-2025-0001) — covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-002,release,06.06.2026,9.1,TAMC,1.5 × 10⁴,161/0269/25,24.02.2025,IPH — Institute of Public Health,,covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-086,reissue — 12-month retest,17.08.2026,9.1,TAMC,1.5 × 10⁴,161/0269/25,24.02.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0001) — covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-002,release,06.06.2026,9.2,TYMC,2.2 × 10³,161/0269/25,24.02.2025,IPH — Institute of Public Health,,covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-086,reissue — 12-month retest,17.08.2026,9.2,TYMC,2.2 × 10³,161/0269/25,24.02.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0001) — covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-002,release,06.06.2026,9.3,Bile-tolerant gram-neg.,< 10² and > 10,161/0269/25,24.02.2025,IPH — Institute of Public Health,,covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-086,reissue — 12-month retest,17.08.2026,9.3,Bile-tolerant gram-neg.,< 10² and > 10,161/0269/25,24.02.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0001) — covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-002,release,06.06.2026,9.4,Salmonella,Absent | Отсутна,161/0269/25,24.02.2025,IPH — Institute of Public Health,,covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-086,reissue — 12-month retest,17.08.2026,9.4,Salmonella,Absent | Отсутна,161/0269/25,24.02.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0001) — covered
