Tranche,Release CoQ code,Issued,Superseded by (retest CoQ),Retest issued,Production batch (P lot),Cultivation batch,Strain,Product type,Grade,Product code,Potency window (%),Nominal ± tol (%),Total THC result (%),CBD (%),CBN (%),Potency certificate,Certificate issued,Laboratory,Internal CoA,Internal CoA issued,Retest Total THC (%),Retest potency certificate
3,CoQ-PP_26-021,06.06.2026,CoQ-PP_26-138,21.09.2026,P050142,BSS1024_01/2,Blue Sunset Sherbet,INDICA · THC · MACHINE TRIMMED,,,,,—,—,—,—,,,iCoA-PP_26-019,03.06.2026,26.69,227-1-К/26
1,CoQ-PP_26-022,06.06.2026,CoQ-PP_26-088,17.08.2026,P050162,CJ052501/01,Cap Junky,HYBRID · THC · MACHINE TRIMMED (INDICA 60 : SATIVA 40),Grade III,CJ_THC20 : CBD1,18.40 – 21.59,20.00 ± 1.60,20.29,0.07,0.02 ᴰ,ППК25280,17.09.2025,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-020,03.06.2026,24.05,197-3-К/26
3,CoQ-PP_26-023,06.06.2026,CoQ-PP_26-140,21.09.2026,P050172,CJ052501-2,Cup Junky,HYBRID · THC · MACHINE TRIMMED (INDICA 60 : SATIVA 40),Grade V,CJ_THC14 : CBD1,12.60 – 15.39,14.00 ± 1.40,14.93,0.10,—,ППК25281,17.09.2025,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-021,03.06.2026,21.30,227-28-К/26
2,CoQ-PP_26-024,06.06.2026,CoQ-PP_26-121,18.09.2026,P050182,HPA052501,High Pro Amnesia,SATIVA · THC · MACHINE TRIMMED,Grade I,HPA_THC22 : CBD1,19.80 – 24.19,22.00 ± 2.20,20.39,0.09,0.02 ᴰ,ППК25278,19.09.2025,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-022,03.06.2026,19.69,220-15-К/26
2,CoQ-PP_26-025,06.06.2026,CoQ-PP_26-107,18.09.2026,P050192,BSS052501,Blue Sunset Sherbet,INDICA · THC · MACHINE TRIMMED,Grade III,BSS_THC20 : CBD1,18.11 – 21.88,20.00 ± 1.89,20.39,0.11,—,iCoA-PP_26-023,03.06.2026,Purely Plant GmbH (in-house),iCoA-PP_26-023,03.06.2026,20.52,220-2-К/26
3,CoQ-PP_26-026,06.06.2026,CoQ-PP_26-149,21.09.2026,P050202,GP062501,Grape Pie,HYBRID · THC · MACHINE TRIMMED (INDICA-DOMINANT),Grade II,GP_THC24 : CBD1,22.00 – 25.99,24.00 ± 2.00,24.89,0.17,—,iCoA-PP_26-024,03.06.2026,Purely Plant GmbH (in-house),iCoA-PP_26-024,03.06.2026,25.97,227-18-К/26
1,CoQ-PP_26-027,06.06.2026,CoQ-PP_26-089,17.08.2026,P050212,CJ062501-2,Cap Junkie,HYBRID · THC · MACHINE TRIMMED (INDICA 60 : SATIVA 40),Grade IV,CJ_THC17 : CBD1,15.60 – 18.39,17.00 ± 1.40,16.56,0.14,< LOQ ᴰ,ППК25322,23.10.2025,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-025,03.06.2026,18.91,197-4-К/26
2,CoQ-PP_26-028,06.06.2026,CoQ-PP_26-110,18.09.2026,P050222,CJ062501/1,Cap Junky,HYBRID · THC · MACHINE TRIMMED (INDICA 60 : SATIVA 40),Grade III,CJ_THC20 : CBD1,18.40 – 21.59,20.00 ± 1.60,21.51,0.07,0.02 ᴰ,ППК25321,23.10.2025,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-026,03.06.2026,24.80,220-3-К/26
3,CoQ-PP_26-029,06.06.2026,CoQ-PP_26-141,21.09.2026,P050252,CJ072501,Cup Junky,HYBRID · THC · MACHINE TRIMMED (INDICA 60 : SATIVA 40),Grade II,CJ_THC24 : CBD1,21.60 – 26.39,24.00 ± 2.40,23.70,0.09,—,ППК25367,28.11.2025,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-027,03.06.2026,28.18,227-27-К/26
3,CoQ-PP_26-030,06.06.2026,CoQ-PP_26-164,21.09.2026,P050262,WC072501,Wedding Crasher,HYBRID · THC · MACHINE TRIMMED (TO BE DETERMINED),Grade II,WC_THC22 : CBD1,20.60 – 23.39,22.00 ± 1.40,22.11,0.06,—,ППК25369,28.11.2025,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-028,03.06.2026,25.37,227-3-К/26
3,CoQ-PP_26-031,06.06.2026,CoQ-PP_26-159,21.09.2026,P050272,PM072501,Permanent Market,HYBRID · THC · MACHINE TRIMMED (INDICA-DOMINANT),Grade III,PM_THC10 : CBD1,9.00 – 10.99,10.00 ± 1.00,10.01,0.04,—,ППК25368,28.11.2025,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-029,03.06.2026,12.77,227-9-К/26
2,CoQ-PP_26-032,06.06.2026,CoQ-PP_26-113,18.09.2026,P050282,CLE072501,Clemosa A Bud,HYBRID · THC · MACHINE TRIMMED (TO BE DETERMINED),Grade I,CLE_THC8 : CBD1,7.20 – 8.79,8.00 ± 0.80,8.02,0.04,< LOQ ᴰ,ППК25370,28.11.2025,CNP,iCoA-PP_26-030,03.06.2026,8.65,220-7-К/26
3,CoQ-PP_26-033,06.06.2026,CoQ-PP_26-150,21.09.2026,P050292,GP072501-1,Grape Pie,HYBRID · THC · MACHINE TRIMMED (INDICA-DOMINANT),Grade III,GP_THC20 : CBD1,18.00 – 21.99,20.00 ± 2.00,21.36,0.11,—,ППК25378,12.12.2025,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-031,03.06.2026,26.54,227-17-К/26
2,CoQ-PP_26-034,06.06.2026,CoQ-PP_26-116,18.09.2026,P050302,GP072501/2,Grape Pie,HYBRID · THC · MACHINE TRIMMED (INDICA-DOMINANT),Grade III,GP_THC20 : CBD1,18.00 – 21.99,20.00 ± 2.00,19.81,0.10,0.03 ᴰ,ППК25379,12.12.2025,CNP,iCoA-PP_26-032,03.06.2026,18.29,220-10-К/26
2,CoQ-PP_26-035,06.06.2026,CoQ-PP_26-118,18.09.2026,P050312,GP082501/1,Grape Pie,HYBRID · THC · MACHINE TRIMMED (INDICA-DOMINANT),Grade III,GP_THC20 : CBD1,18.00 – 21.99,20.00 ± 2.00,21.29,0.08,0.03 ᴰ,ППК25380,12.12.2025,CNP,iCoA-PP_26-033,03.06.2026,25.13,220-12-К/26
1,CoQ-PP_26-036,06.06.2026,CoQ-PP_26-096,17.08.2026,P050322,GP082501/2,Grape Pie,HYBRID · THC · MACHINE TRIMMED (INDICA-DOMINANT),Grade IV,GP_THC16 : CBD1,14.40 – 17.59,16.00 ± 1.60,14.83,0.11,0.02 ᴰ,ППК25381,12.12.2025,CNP,iCoA-PP_26-034,03.06.2026,15.70,197-12-К/26
2,CoQ-PP_26-037,06.06.2026,CoQ-PP_26-135,18.09.2026,P060012,WC082501,Wedding Crusher,HYBRID · THC · MACHINE TRIMMED (TO BE DETERMINED),Grade II,WC_THC22 : CBD1,20.60 – 23.39,22.00 ± 1.40,21.67,0.08,0.02 ᴰ,ППК26001,21.01.2026,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-035,03.06.2026,23.48,220-28-К/26
2,CoQ-PP_26-038,06.06.2026,CoQ-PP_26-111,18.09.2026,P060022,CJ082501/1,Cap Junky,HYBRID · THC · MACHINE TRIMMED (INDICA 60 : SATIVA 40),Grade II,CJ_THC24 : CBD1,21.60 – 26.39,24.00 ± 2.40,24.96,0.09,0.02 ᴰ,ППК26002,21.01.2026,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-036,03.06.2026,28.34,220-4-К/26
1,CoQ-PP_26-039,06.06.2026,CoQ-PP_26-090,17.08.2026,P060032,CJ082501/2,Cap Junky,HYBRID · THC · MACHINE TRIMMED (INDICA 60 : SATIVA 40),Grade III,CJ_THC20 : CBD1,18.40 – 21.59,20.00 ± 1.60,20.84,0.08,ND ᴰ,ППК26003,21.01.2026,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-037,03.06.2026,18.29,197-5-К/26
