Tranche,Release CoQ code,Issued,Superseded by (retest CoQ),Retest issued,Production batch (P lot),Cultivation batch,Strain,Product type,Grade,Product code,Potency window (%),Nominal ± tol (%),Total THC result (%),CBD (%),CBN (%),Potency certificate,Certificate issued,Laboratory,Internal CoA,Internal CoA issued,Retest Total THC (%),Retest potency certificate
3,CoQ-PP_26-067,06.06.2026,CoQ-PP_26-155,21.09.2026,,JD012601,Jelly Donutz,HYBRID · THC · MACHINE TRIMMED (SATIVA 60 : INDICA 40),Grade II,JD_THC18 : CBD1,16.20 – 19.79,18.00 ± 1.80,18.16,0.06,—,ППК26064,11.05.2026,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-075,03.06.2026,19.99,227-15-К/26
1,CoQ-PP_26-068,06.06.2026,CoQ-PP_26-087,17.08.2026,,P060332,CashCow,HYBRID · THC · MACHINE TRIMMED (INDICA 70 : SATIVA 30),,,,,—,—,—,—,,,iCoA-PP_26-077,03.06.2026,17.67,197-6-К/26
2,CoQ-PP_26-069,06.06.2026,CoQ-PP_26-114,18.09.2026,P060322,FB012601/1,Fat Bastard,HYBRID · THC · MACHINE TRIMMED (BALANCED),Grade III,FB_THC15 : CBD1,13.80 – 16.19,15.00 ± 1.20,14.68,0.04,< LOQ %,ППК26067,11.05.2026,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-076,03.06.2026,17.99,220-8-К/26
1,CoQ-PP_26-070,06.06.2026,CoQ-PP_26-091,17.08.2026,P060352,FB012602,Fat Bastard,HYBRID · THC · MACHINE TRIMMED (BALANCED),,,,,—,—,—,—,,,iCoA-PP_26-081,03.06.2026,18.86,197-7-К/26
2,CoQ-PP_26-071,06.06.2026,CoQ-PP_26-122,18.09.2026,P060362,JD012603/01,Jelly Donuts,HYBRID · THC · MACHINE TRIMMED (SATIVA 60 : INDICA 40),,,,,—,—,—,—,,,iCoA-PP_26-080,03.06.2026,21.01,220-16-К/26
2,CoQ-PP_26-072,06.06.2026,CoQ-PP_26-108,18.09.2026,P060372,CC012603,Cash Cow,HYBRID · THC · MACHINE TRIMMED (INDICA 70 : SATIVA 30),,,,,—,—,—,—,,,iCoA-PP_26-082,03.06.2026,14.76,220-29-К/26
3,CoQ-PP_26-073,06.06.2026,CoQ-PP_26-160,21.09.2026,P060342,SCR012601,Scrambler,HYBRID · THC · MACHINE TRIMMED (TO BE DETERMINED),,,,,—,—,—,—,,,iCoA-PP_26-086,03.06.2026,22.40,227-8-К/26
1,CoQ-PP_26-074,06.06.2026,CoQ-PP_26-105,17.08.2026,P060382,SCR012603,Scrambler,HYBRID · THC · MACHINE TRIMMED (TO BE DETERMINED),,,,,—,—,—,—,,,iCoA-PP_26-085,03.06.2026,17.84,197-21-К/26
3,CoQ-PP_26-075,07.07.2026,CoQ-PP_26-144,21.09.2026,,FB012603V,FatBastard,HYBRID · THC · MACHINE TRIMMED (BALANCED),Grade II,FB_THC18 : CBD1,16.20 – 19.79,18.00 ± 1.80,18.29,0.16,0.06,ППК26110,30.06.2026,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-078,03.06.2026,19.31,227-23-К/26
2,CoQ-PP_26-076,07.07.2026,CoQ-PP_26-124,18.09.2026,P060422,JD012603/02V,Jelly Donuts,HYBRID · THC · MACHINE TRIMMED (SATIVA 60 : INDICA 40),Grade III,JD_THC15 : CBD1,13.80 – 16.19,15.00 ± 1.20,15.16,< LOQ (below limit of quantification),0.04,ППК26111,30.06.2026,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-079,03.06.2026,17.09,220-18-К/26
1,CoQ-PP_26-077,07.07.2026,CoQ-PP_26-092,17.08.2026,P060402,GG012603,Gorilla Glue,INDICA · THC · MACHINE TRIMMED,Grade I,GG_THC18 : CBD1,16.23 – 19.76,18.00 ± 1.77,17.59,0.05,0.15,ППК26114,30.06.2026,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-083,03.06.2026,16.70,197-8-К/26
2,CoQ-PP_26-078,07.07.2026,CoQ-PP_26-123,18.09.2026,P060412,JD012603/02,Jelly Donuts,HYBRID · THC · MACHINE TRIMMED (SATIVA 60 : INDICA 40),Grade I,JD_THC22 : CBD1,19.80 – 24.19,22.00 ± 2.20,20.54,0.05,0.05,ППК26113,30.06.2026,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-084,03.06.2026,14.43,220-17-К/26
3,CoQ-PP_26-079,07.07.2026,CoQ-PP_26-143,21.09.2026,,FB012603,Fat Bastard,HYBRID · THC · MACHINE TRIMMED (BALANCED),Grade I,FB_THC22 : CBD1,19.80 – 24.19,22.00 ± 2.20,20.83,0.21,0.06,ППК26112,30.06.2026,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-091,15.06.2026,20.00,227-24-К/26
3,CoQ-PP_26-080,13.07.2026,CoQ-PP_26-161,21.09.2026,,SCR022601,Scrambler,HYBRID · THC · MACHINE TRIMMED (TO BE DETERMINED),Grade I,SCR_THC22 : CBD1,19.80 – 24.19,22.00 ± 2.20,21.92,0.19,0.06,ППК26116,06.07.2026,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-092,18.06.2026,16.68,227-7-К/26
2,CoQ-PP_26-084,13.08.2026,CoQ-PP_26-125,18.09.2026,P060492,JD042601,Jelly Donutz,HYBRID · THC · MACHINE TRIMMED (SATIVA 60 : INDICA 40),,,,,—,—,—,—,,,iCoA-PP_26-120,13.08.2026,14.89,220-30-К/26
2,— at issue —,≥ 11.05.2026,— at issue —,18.09.2026,,CC042601,Cash Cow,HYBRID · THC · MACHINE TRIMMED (INDICA 70 : SATIVA 30),,,,,—,—,—,—,,,iCoA-PP_26-088,03.06.2026,14.90,220-32-К/26
2,— at issue —,≥ 11.05.2026,— at issue —,18.09.2026,,FB042601,Fat Bastard,HYBRID · THC · MACHINE TRIMMED (BALANCED),,,,,—,—,—,—,,,iCoA-PP_26-089,03.06.2026,14.99,220-31-К/26
