code	cu	p	strain	dir	series	tested	packaging	issued	conforms	path
iCoA-PP_26-101	BSS1024	N/A — no P batch assigned	Blue Sunset Sherbet	RETEST	retest 1	21.07.2026	04.03.2025	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-101_BSS1024_BSS_Blue_Sunset_Sherbet_Retest_1.html
iCoA-PP_26-102	CJ052501/01	P050162	Cap Junky	RETEST	retest 1	21.07.2026	30.09.2025	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-102_P050162_CJ_Cap_Junky_Retest_1.html
iCoA-PP_26-103	CJ062501/2	P050212	Cap Junky	RETEST	retest 2	21.07.2026	18.11.2025	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-103_P050212_CJ_Cap_Junky_Retest_2.html
iCoA-PP_26-104	CJ082501/2	P060032	Cap Junky	RETEST	retest 1	21.07.2026	29.01.2026	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-104_P060032_CJ_Cap_Junky_Retest_1.html
iCoA-PP_26-105	CC012601/1	P060332	Cash Cow	RETEST	retest 1	21.07.2026	22.05.2026	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-105_P060332_CC_Cash_Cow_Retest_1.html
iCoA-PP_26-106	GG1024_01	P050092	Gorilla Glue	RETEST	retest 1	22.07.2026	31.07.2025	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-106_P050092_GG_Gorilla_Glue_Retest_1.html
iCoA-PP_26-107	GP052501	P050152	Grape Pie	RETEST	retest 1	22.07.2026	25.09.2025	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-107_P050152_GP_Grape_Pie_Retest_1.html
iCoA-PP_26-108	GP0824_02	P050022	Grape Pie	RETEST	retest 5	22.07.2026	03.06.2025	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-108_P050022_GP_Grape_Pie_Retest_5.html
iCoA-PP_26-109	FB012602*	P060352	Fat Bastard	RETEST	retest 1	22.07.2026	23.05.2026	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-109_P060352_FB_Fat_Bastard_Retest_1.html
iCoA-PP_26-110	GG012603	P060402	Gorilla Glue	RETEST	retest 1	22.07.2026	24.05.2026	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-110_P060402_GG_Gorilla_Glue_Retest_1.html
iCoA-PP_26-111	GP082501/2	P050322	Grape Pie	RETEST	retest 1	23.07.2026	26.12.2025	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-111_P050322_GP_Grape_Pie_Retest_1.html
iCoA-PP_26-112	HPA1024	N/A — no P batch assigned	High Pro Amnesia	RETEST	retest 1	23.07.2026	11.04.2025	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-112_HPA1024_HPA_High_Pro_Amnesia_Retest_1.html
iCoA-PP_26-113	HPA1024_01	P050052	High Pro Amnesia	RETEST	retest 1	23.07.2026	27.06.2025	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-113_P050052_HPA_High_Pro_Amnesia_Retest_1.html
iCoA-PP_26-114	J31102501	P060152	Jokerz 31	RETEST	retest 1	23.07.2026	05.03.2026	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-114_P060152_J31_Jokerz_31_Retest_1.html
iCoA-PP_26-115	JD112501	P060212	Jelly Donuts	RETEST	retest 1	23.07.2026	21.04.2026	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-115_P060212_JD_Jelly_Donuts_Retest_1.html
iCoA-PP_26-116	OPM1024	N/A — no P batch assigned	Orange Punch Mimosa	RETEST	retest 1	24.07.2026	24.04.2025	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-116_OPM1024_OPM_Orange_Punch_Mimosa_Retest_1.html
iCoA-PP_26-117	OPM1024_02	P050062	Orange Punch Mimosa	RETEST	retest 1	24.07.2026	04.07.2025	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-117_P050062_OPM_Orange_Punch_Mimosa_Retest_1.html
iCoA-PP_26-118	OPM122501	P060242	Orange Punch Mimosa	RETEST	retest 1	24.07.2026	28.04.2026	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-118_P060242_OPM_Orange_Punch_Mimosa_Retest_1.html
iCoA-PP_26-119	SCR012603	P060382	Scrambler	RETEST	retest 1	24.07.2026	25.05.2026	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-119_P060382_SCR_Scrambler_Retest_1.html
iCoA-PP_26-120	PM092501	P060062	Permanent Marker	RETEST	retest 1	24.07.2026	30.01.2026	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-120_P060062_PM_Permanent_Marker_Retest_1.html
iCoA-PP_26-121	JD022601	P060482	Jelly Donuts	INITIAL	initial release	05.08.2026	05.08.2026	05.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-121_P060482_JD_Jelly_Donuts_Initial.html
iCoA-PP_26-122	JD042601	P060492	Jelly Donuts	INITIAL	initial release	13.08.2026	13.08.2026	13.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-122_P060492_JD_Jelly_Donuts_Initial.html
iCoA-PP_26-123	ACC102501	P060122	Amnesia Core Cut	RETEST	retest 1	12.08.2026	18.02.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-123_P060122_ACC_Amnesia_Core_Cut_Retest_1.html
iCoA-PP_26-124	BSS052501	P050192	Blue Sunset Sherbet	RETEST	retest 1	12.08.2026	10.10.2025	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-124_P050192_BSS_Blue_Sunset_Sherbet_Retest_1.html
iCoA-PP_26-125	CF102501	P060132	Chem Flyer	RETEST	retest 1	12.08.2026	19.02.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-125_P060132_CF_Chem_Flyer_Retest_1.html
iCoA-PP_26-126	CJ062501/1	P050222	Cap Junky	RETEST	retest 2	12.08.2026	24.11.2025	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-126_P050222_CJ_Cap_Junky_Retest_2.html
iCoA-PP_26-127	CJ082501/1	P060022	Cap Junky	RETEST	retest 1	12.08.2026	16.01.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-127_P060022_CJ_Cap_Junky_Retest_1.html
iCoA-PP_26-128	CJ092501	P060072	Cap Junky	RETEST	retest 1	12.08.2026	02.02.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-128_P060072_CJ_Cap_Junky_Retest_1.html
iCoA-PP_26-129	CLE072501	P050282	Clemosa A Bud	RETEST	retest 1	12.08.2026	03.12.2025	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-129_P050282_CLE_Clemosa_A_Bud_Retest_1.html
iCoA-PP_26-130	FB012601_1	P060322	Fat Bastard	RETEST	retest 1	12.08.2026	22.05.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-130_P060322_FB_Fat_Bastard_Retest_1.html
iCoA-PP_26-131	GG1024	N/A — no P batch assigned	Gorilla Glue	RETEST	retest 1	12.08.2026	11.03.2025	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-131_GG1024_GG_Gorilla_Glue_Retest_1.html
iCoA-PP_26-132	GP072501/2	P050302	Grape Pie	RETEST	retest 1	12.08.2026	22.12.2025	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-132_P050302_GP_Grape_Pie_Retest_1.html
iCoA-PP_26-133	GP0824_03	P050072	Grape Pie	RETEST	retest 4	12.08.2026	14.07.2025	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-133_P050072_GP_Grape_Pie_Retest_4.html
iCoA-PP_26-134	GP082501/1	P050312	Grape Pie	RETEST	retest 1	13.08.2026	23.12.2025	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-134_P050312_GP_Grape_Pie_Retest_1.html
iCoA-PP_26-135	GP092501	P060092	Grape Pie	RETEST	retest 1	13.08.2026	03.02.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-135_P060092_GP_Grape_Pie_Retest_1.html
iCoA-PP_26-136	GRC102501	P060182	Grapes And Cream	RETEST	retest 2	13.08.2026	14.03.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-136_P060182_GAC_Grapes_And_Cream_Retest_2.html
iCoA-PP_26-137	HPA052501	P050182	High Pro Amnesia	RETEST	retest 1	13.08.2026	03.10.2025	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-137_P050182_HPA_High_Pro_Amnesia_Retest_1.html
iCoA-PP_26-138	JD012603	P060412	Jelly Donuts	RETEST	retest 1	13.08.2026	24.05.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-138_P060412_JD_Jelly_Donuts_Retest_1.html
iCoA-PP_26-139	JD012603	P060422	Jelly Donuts	RETEST	retest 1	13.08.2026	23.05.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-139_P060422_JD_Jelly_Donuts_Retest_1.html
iCoA-PP_26-140	JD012603	P060362	Jelly Donuts	RETEST	retest 1	13.08.2026	23.05.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-140_P060362_JD_Jelly_Donuts_Retest_1.html
iCoA-PP_26-141	KC102501	P060172	Kush Crasher	RETEST	retest 1	13.08.2026	12.03.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-141_P060172_KC_Kush_Crasher_Retest_1.html
iCoA-PP_26-142	MB0824_05	P050112	Motor Breath	RETEST	retest 1	13.08.2026	25.08.2025	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-142_P050112_MB_Motor_Breath_Retest_1.html
iCoA-PP_26-143	OPM092501	P060042	Orange Punch Mimosa	RETEST	retest 1	13.08.2026	29.01.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-143_P060042_OPM_Orange_Punch_Mimosa_Retest_1.html
iCoA-PP_26-144	OMP1024_01	P050042	Orange Punch Mimosa	RETEST	retest 2	13.08.2026	20.06.2025	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-144_P050042_OPM_Orange_Punch_Mimosa_Retest_2.html
iCoA-PP_26-145	CC012603	P060372	Cash Cow	RETEST	retest 1	14.08.2026	24.05.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-145_P060372_CC_Cash_Cow_Retest_1.html
iCoA-PP_26-146	CC042601	N/A — no P batch assigned	Cash Cow	RETEST	retest 1	14.08.2026		17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-146_CC042601_CC_Cash_Cow_Retest_1.html
iCoA-PP_26-147	FB042601	N/A — no P batch assigned	Fat Bastard	RETEST	retest 1	14.08.2026		17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-147_FB042601_FB_Fat_Bastard_Retest_1.html
iCoA-PP_26-148	JD042601	P060492	Jelly Donuts	RETEST	retest 1	14.08.2026	13.08.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-148_P060492_JD_Jelly_Donuts_Retest_1.html
iCoA-PP_26-149	OPM1024_03	P050082	Orange Punch Mimosa	RETEST	retest 1	14.08.2026	22.07.2025	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-149_P050082_OPM_Orange_Punch_Mimosa_Retest_1.html
iCoA-PP_26-150	PM112501	P060232	Permanent Marker	RETEST	retest 1	14.08.2026	27.04.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-150_P060232_PM_Permanent_Marker_Retest_1.html
iCoA-PP_26-151	PUM102501	P060112	Pure Michigen	RETEST	retest 1	14.08.2026	17.02.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-151_P060112_PUM_Pure_Michigen_Retest_1.html
iCoA-PP_26-152	SCR112501	P060282	Scrambler	RETEST	retest 1	14.08.2026	18.05.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-152_P060282_SCR_Scrambler_Retest_1.html
iCoA-PP_26-153	SJ0925021	P060082	Sleepy Joe	RETEST	retest 1	14.08.2026	02.02.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-153_P060082_SJ_Sleepy_Joe_Retest_1.html
iCoA-PP_26-154	WC082501	P060012	Wedding Crusher	RETEST	retest 1	14.08.2026	13.01.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-154_P060012_WC_Wedding_Crusher_Retest_1.html
iCoA-PP_26-155	BSS1024_01/2	P050142	Blue Sunset Sherbet	RETEST	retest 2	19.08.2026	30.09.2025	24.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-155_P050142_BSS_Blue_Sunset_Sherbet_Retest_2.html
iCoA-PP_26-156	GP0824_01	P050102	Grape Pie	RETEST	retest 2	19.08.2026	05.08.2025	24.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-156_P050102_GP_Grape_Pie_Retest_2.html
iCoA-PP_26-157	OPM112501	P060222	Orange Punch Mimosa	RETEST	retest 2	19.08.2026	24.04.2026	24.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-157_P060222_OPM_Orange_Punch_Mimosa_Retest_2.html
iCoA-PP_26-158	PM072501	P050272	Permanent Marker	RETEST	retest 2	19.08.2026	02.12.2025	24.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-158_P050272_PM_Permanent_Marker_Retest_2.html
iCoA-PP_26-159	SCR012601*	P060342	Scrambler	RETEST	retest 2	19.08.2026	25.05.2026	24.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-159_P060342_S_Scrambler_Retest_2.html
iCoA-PP_26-160	SCR022601	P060442	Scrambler	RETEST	retest 2	19.08.2026	18.06.2026	24.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-160_P060442_SCR_Scrambler_Retest_2.html
iCoA-PP_26-161	SJ102501	P060162	Sleepy Joe	RETEST	retest 2	19.08.2026	09.03.2026	24.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-161_P060162_SJ_Sleepy_Joe_Retest_2.html
iCoA-PP_26-162	SJ112501	P060192	Sleepy Joe	RETEST	retest 1	19.08.2026	31.03.2026	24.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-162_P060192_SJ_Sleepy_Joe_Retest_1.html
iCoA-PP_26-163	WC072501	P050262	Wedding Crusher	RETEST	retest 2	19.08.2026	01.12.2025	24.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-163_P050262_WC_Wedding_Crusher_Retest_2.html
iCoA-PP_26-164	WED102501	P060102	Wedding Cake	RETEST	retest 2	19.08.2026	16.02.2026	24.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-164_P060102_WED_Wedding_Cake_Retest_2.html
iCoA-PP_26-165	GG1024_02	P050012	Gorilla Glue	RETEST	retest 2	20.08.2026	11.06.2025	24.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-165_P050012_GG_Gorilla_Glue_Retest_2.html
iCoA-PP_26-166	GG112501	P060252	Gorilla Glue	RETEST	retest 2	20.08.2026	05.05.2026	24.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-166_P060252_GG_Gorilla_Glue_Retest_2.html
iCoA-PP_26-167	GP062501	P050202	Grape Pie	RETEST	retest 5	20.08.2026	30.10.2025	24.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-167_P050202_GP_Grape_Pie_Retest_5.html
iCoA-PP_26-168	GP072501/1	P050292	Grape Pie	RETEST	retest 2	20.08.2026	15.12.2025	24.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-168_P050292_GP_Grape_Pie_Retest_2.html
iCoA-PP_26-169	GRC102501	P060142	Grapes And Cream	RETEST	retest 2	20.08.2026	23.02.2026	24.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-169_P060142_GAC_Grapes_And_Cream_Retest_2.html
iCoA-PP_26-170	J31112501	P060202	Jokerz 31	RETEST	retest 2	20.08.2026	17.04.2026	24.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-170_P060202_J3_Jokerz_31_Retest_2.html
iCoA-PP_26-171	J31122501	P060262	Jokerz 31	RETEST	retest 2	20.08.2026	14.05.2026	24.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-171_P060262_J3_Jokerz_31_Retest_2.html
iCoA-PP_26-172	JD012601＊	P060312	Jelly Donuts	RETEST	retest 2	20.08.2026	21.05.2026	24.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-172_P060312_JD_Jelly_Donuts_Retest_2.html
iCoA-PP_26-173	MB0824_04	P050032	Motor Breath	RETEST	retest 2	20.08.2026	16.06.2025	24.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-173_P050032_MB_Motor_Breath_Retest_2.html
iCoA-PP_26-174	OPM052501	P050132	Orange Punch Mimosa	RETEST	retest 2	20.08.2026	09.09.2025	24.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-174_P050132_OPM_Orange_Punch_Mimosa_Retest_2.html
iCoA-PP_26-175	AB092501	P060052	Apple and Banana	RETEST	retest 2	21.08.2026	30.01.2026	24.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-175_P060052_AB_Apple_and_Banana_Retest_2.html
iCoA-PP_26-176	BSS1024_01/1	P050122	Blue Sunset Sherbet	RETEST	retest 2	21.08.2026	01.09.2025	24.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-176_P050122_BSS_Blue_Sunset_Sherbet_Retest_2.html
iCoA-PP_26-177	CC112501	P060272	Cash Cow	RETEST	retest 2	21.08.2026	18.05.2026	24.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-177_P060272_CC_Cash_Cow_Retest_2.html
iCoA-PP_26-178	CJ052501/02	P050172	Cap Junky	RETEST	retest 2	21.08.2026	01.10.2025	24.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-178_P050172_CJ_Cap_Junky_Retest_2.html
iCoA-PP_26-179	CJ072501	P050252	Cap Junky	RETEST	retest 2	21.08.2026	27.11.2025	24.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-179_P050252_CJ_Cap_Junky_Retest_2.html
iCoA-PP_26-180	CJ1024	N/A — no P batch assigned	Cap Junky	RETEST	retest 2	21.08.2026	03.03.2025	24.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-180_CJ1024_CJ_Cap_Junky_Retest_2.html
iCoA-PP_26-181	FB012603	P060432	Fat Bastard	RETEST	retest 2	21.08.2026	15.06.2026	24.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-181_P060432_FB_Fat_Bastard_Retest_2.html
iCoA-PP_26-182	FB012603V	P060392	Fat Bastard	RETEST	retest 2	21.08.2026	23.05.2026	24.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-182_P060392_FB_Fat_Bastard_Retest_2.html
iCoA-PP_26-183	FB112501	P060292	Fat Bastard	RETEST	retest 2	21.08.2026	19.05.2026	24.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-183_P060292_FB_Fat_Bastard_Retest_2.html
iCoA-PP_26-184	GG012601＊	P060302	Gorilla Glue	RETEST	retest 2	21.08.2026	20.05.2026	24.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-184_P060302_GG_Gorilla_Glue_Retest_2.html
iCoA-PP_26-185	CC112501	P060272	Cash Cow	RETEST	retest 1	31.08.2026	18.05.2026	31.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-185_P060272_CC_Cash_Cow_Retest_1.html
iCoA-PP_26-186	CJ062501/1	P050222	Cap Junky	RETEST	retest 1	31.08.2026	24.11.2025	31.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-186_P050222_CJ_Cap_Junky_Retest_1.html
iCoA-PP_26-187	CJ062501/2	P050212	Cap Junky	RETEST	retest 1	31.08.2026	18.11.2025	31.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-187_P050212_CJ_Cap_Junky_Retest_1.html
iCoA-PP_26-188	FB012603	P060432	Fat Bastard	RETEST	retest 1	31.08.2026	15.06.2026	31.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-188_P060432_FB_Fat_Bastard_Retest_1.html
iCoA-PP_26-189	FB012603V	P060392	Fat Bastard	RETEST	retest 1	31.08.2026	23.05.2026	31.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-189_P060392_FB_Fat_Bastard_Retest_1.html
iCoA-PP_26-190	FB112501	P060292	Fat Bastard	RETEST	retest 1	31.08.2026	19.05.2026	31.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-190_P060292_FB_Fat_Bastard_Retest_1.html
iCoA-PP_26-191	GG012601＊	P060302	Gorilla Glue	RETEST	retest 1	31.08.2026	20.05.2026	31.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-191_P060302_GG_Gorilla_Glue_Retest_1.html
iCoA-PP_26-192	GG112501	P060252	Gorilla Glue	RETEST	retest 1	31.08.2026	05.05.2026	31.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-192_P060252_GG_Gorilla_Glue_Retest_1.html
iCoA-PP_26-193	J31112501	P060202	Jokerz 31	RETEST	retest 1	31.08.2026	17.04.2026	31.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-193_P060202_J3_Jokerz_31_Retest_1.html
iCoA-PP_26-194	J31122501	P060262	Jokerz 31	RETEST	retest 1	31.08.2026	14.05.2026	31.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-194_P060262_J3_Jokerz_31_Retest_1.html
iCoA-PP_26-195	JD012601＊	P060312	Jelly Donuts	RETEST	retest 1	31.08.2026	21.05.2026	31.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-195_P060312_JD_Jelly_Donuts_Retest_1.html
iCoA-PP_26-196	OPM112501	P060222	Orange Punch Mimosa	RETEST	retest 1	31.08.2026	24.04.2026	31.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-196_P060222_OPM_Orange_Punch_Mimosa_Retest_1.html
iCoA-PP_26-197	SCR012601*	P060342	Scrambler	RETEST	retest 1	31.08.2026	25.05.2026	31.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-197_P060342_S_Scrambler_Retest_1.html
iCoA-PP_26-198	SCR022601	P060442	Scrambler	RETEST	retest 1	31.08.2026	18.06.2026	31.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-198_P060442_SCR_Scrambler_Retest_1.html
iCoA-PP_26-199	SJ102501	P060162	Sleepy Joe	RETEST	retest 1	31.08.2026	09.03.2026	31.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-199_P060162_SJ_Sleepy_Joe_Retest_1.html
iCoA-PP_26-200	AB092501	P060052	Apple and Banana	RETEST	retest 1	01.09.2026	30.01.2026	01.09.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-200_P060052_AB_Apple_and_Banana_Retest_1.html
