wave	wave_name	coq_code	issue_date	batch	pp_batch	strain	version	supersedes_qccoa	supersedes_coq	tranche	spec_code	param_no	parameter	criterion	state	value	source	cert_code	route
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0002	2025-02-27	BSS1024	BSS1024	Blue Sunset Sherbet	1	QCCoA 001		T1	QCSP_001_BSS-I_v.01	9a	TAMC	≤ 10^5 CFU/g	MISSING				OUTSOURCE
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0002	2025-02-27	BSS1024	BSS1024	Blue Sunset Sherbet	1	QCCoA 001		T1	QCSP_001_BSS-I_v.01	9b	TYMC	≤ 10^4 CFU/g	MISSING				OUTSOURCE
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0002	2025-02-27	BSS1024	BSS1024	Blue Sunset Sherbet	1	QCCoA 001		T1	QCSP_001_BSS-I_v.01	9c	Bile-tolerant gram-neg.	≤ 10^4 CFU/g	MISSING				OUTSOURCE
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0002	2025-02-27	BSS1024	BSS1024	Blue Sunset Sherbet	1	QCCoA 001		T1	QCSP_001_BSS-I_v.01	9d	Salmonella	Absence / 25 g	MISSING				OUTSOURCE
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0002	2025-02-27	BSS1024	BSS1024	Blue Sunset Sherbet	1	QCCoA 001		T1	QCSP_001_BSS-I_v.01	9e	Escherichia coli	Absence / 1 g	MISSING				OUTSOURCE
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0002	2025-02-27	BSS1024	BSS1024	Blue Sunset Sherbet	1	QCCoA 001		T1	QCSP_001_BSS-I_v.01	10a	Aflatoxin B1	≤ 2 µg/kg	NOT TESTED				OUTSOURCE
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0002	2025-02-27	BSS1024	BSS1024	Blue Sunset Sherbet	1	QCCoA 001		T1	QCSP_001_BSS-I_v.01	10b	Aflatoxins ∑ (B1+B2+G1+G2)	≤ 4 µg/kg	OUTSOURCED	< 2	IJZ	751/2025	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0002	2025-02-27	BSS1024	BSS1024	Blue Sunset Sherbet	1	QCCoA 001		T1	QCSP_001_BSS-I_v.01	10c	Ochratoxin A	≤ 20 µg/kg	NOT TESTED				OUTSOURCE
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0002	2025-02-27	BSS1024	BSS1024	Blue Sunset Sherbet	1	QCCoA 001		T1	QCSP_001_BSS-I_v.01	11a	Lead (Pb)	≤ 0.5 mg/kg	OUTSOURCED	0,071	IJZ	751/2025	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0002	2025-02-27	BSS1024	BSS1024	Blue Sunset Sherbet	1	QCCoA 001		T1	QCSP_001_BSS-I_v.01	11b	Cadmium (Cd)	≤ 0.3 mg/kg	OUTSOURCED	0,014	IJZ	751/2025	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0002	2025-02-27	BSS1024	BSS1024	Blue Sunset Sherbet	1	QCCoA 001		T1	QCSP_001_BSS-I_v.01	11c	Arsenic (As)	≤ 0.2 mg/kg	OUTSOURCED	0,081	IJZ	751/2025	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0002	2025-02-27	BSS1024	BSS1024	Blue Sunset Sherbet	1	QCCoA 001		T1	QCSP_001_BSS-I_v.01	11d	Mercury (Hg)	≤ 0.1 mg/kg	OUTSOURCED	0,014	IJZ	751/2025	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0002	2025-02-27	BSS1024	BSS1024	Blue Sunset Sherbet	1	QCCoA 001		T1	QCSP_001_BSS-I_v.01	12	Pesticide Residues	≤ LOQ per МКС EN 15662	OUTSOURCED	≤ LOQ (all 29 compounds)	IJZ	751/2025	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0003	2025-02-27	CJ1024		Cap Junky	1	QCCoA 001		—		1	Identification A, Appearance	Conforms to monograph	MISSING				iCoA
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0003	2025-02-27	CJ1024		Cap Junky	1	QCCoA 001		—		2	Identification B	Conforms to monograph	MISSING				iCoA
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0003	2025-02-27	CJ1024		Cap Junky	1	QCCoA 001		—		3	Identification C	Conforms to monograph	MISSING				iCoA?
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0003	2025-02-27	CJ1024		Cap Junky	1	QCCoA 001		—		4	Assay — Total Δ9-THC	NO MASTER ROW - criterion unknown	OUTSOURCED	23.00	UKIM_CNP	ППК25052	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0003	2025-02-27	CJ1024		Cap Junky	1	QCCoA 001		—		5	Assay — Total CBD	≤ 1.0 %, w/w	OUTSOURCED	0.05	UKIM_CNP	ППК25052	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0003	2025-02-27	CJ1024		Cap Junky	1	QCCoA 001		—		6	Total CBN	≤ 1.0 %, w/w	MISSING				OUTSOURCE
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0003	2025-02-27	CJ1024		Cap Junky	1	QCCoA 001		—		7	Foreign Matter	≤ 2.0 % / 25–50 g	MISSING				iCoA
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0003	2025-02-27	CJ1024		Cap Junky	1	QCCoA 001		—		8	Loss on Drying	≤ 12.0 %	OUTSOURCED	5.91	UKIM_CNP	ППК25052	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0003	2025-02-27	CJ1024		Cap Junky	1	QCCoA 001		—		9a	TAMC	≤ 10^5 CFU/g	OUTSOURCED	8,4 x 10³ CFU/g	IJZ	164/0272/25	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0003	2025-02-27	CJ1024		Cap Junky	1	QCCoA 001		—		9b	TYMC	≤ 10^4 CFU/g	OUTSOURCED	< 10 CFU/g	IJZ	164/0272/25	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0003	2025-02-27	CJ1024		Cap Junky	1	QCCoA 001		—		9c	Bile-tolerant gram-neg.	≤ 10^4 CFU/g	OUTSOURCED	< 10 CFU/g	IJZ	164/0272/25	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0003	2025-02-27	CJ1024		Cap Junky	1	QCCoA 001		—		9d	Salmonella	Absence / 25 g	OUTSOURCED	Одговара	IJZ	164/0272/25	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0003	2025-02-27	CJ1024		Cap Junky	1	QCCoA 001		—		9e	Escherichia coli	Absence / 1 g	OUTSOURCED	Одговара	IJZ	164/0272/25	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0003	2025-02-27	CJ1024		Cap Junky	1	QCCoA 001		—		10a	Aflatoxin B1	≤ 2 µg/kg	NOT TESTED				OUTSOURCE
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0003	2025-02-27	CJ1024		Cap Junky	1	QCCoA 001		—		10b	Aflatoxins ∑ (B1+B2+G1+G2)	≤ 4 µg/kg	OUTSOURCED	< 2	IJZ	750/2025	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0003	2025-02-27	CJ1024		Cap Junky	1	QCCoA 001		—		10c	Ochratoxin A	≤ 20 µg/kg	NOT TESTED				OUTSOURCE
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0003	2025-02-27	CJ1024		Cap Junky	1	QCCoA 001		—		11a	Lead (Pb)	≤ 0.5 mg/kg	OUTSOURCED	0,036	IJZ	750/2025	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0003	2025-02-27	CJ1024		Cap Junky	1	QCCoA 001		—		11b	Cadmium (Cd)	≤ 0.3 mg/kg	OUTSOURCED	0,013	IJZ	750/2025	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0003	2025-02-27	CJ1024		Cap Junky	1	QCCoA 001		—		11c	Arsenic (As)	≤ 0.2 mg/kg	OUTSOURCED	0,063	IJZ	750/2025	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0003	2025-02-27	CJ1024		Cap Junky	1	QCCoA 001		—		11d	Mercury (Hg)	≤ 0.1 mg/kg	OUTSOURCED	0,006	IJZ	750/2025	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0003	2025-02-27	CJ1024		Cap Junky	1	QCCoA 001		—		12	Pesticide Residues	≤ LOQ per МКС EN 15662	OUTSOURCED	≤ LOQ (all 29 compounds)	IJZ	750/2025	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0004	2025-04-17	GG1024_01	P050092	Gorilla Glue	1	QCCoA 001		T1	QCSP_001_GG-I_v.01	1	Identification A, Appearance	Conforms to monograph	MISSING				iCoA
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0004	2025-04-17	GG1024_01	P050092	Gorilla Glue	1	QCCoA 001		T1	QCSP_001_GG-I_v.01	2	Identification B	Conforms to monograph	MISSING				iCoA
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0004	2025-04-17	GG1024_01	P050092	Gorilla Glue	1	QCCoA 001		T1	QCSP_001_GG-I_v.01	3	Identification C	Conforms to monograph	MISSING				iCoA?
