#	Production	CoQ doc. code (proposed)	Batch	P-Number	Strain	Product code	Round	1 — Macroscopic ID (Test A)	eCoA reference	2 — Microscopic ID (Test B)	eCoA reference	3 — HPTLC ID (Test C)	eCoA reference	4 — Total Δ⁹-THC (%)	Grade (v.02)	eCoA reference	5 — Total CBD (%)	eCoA reference	6 — Total CBN (%)	eCoA reference	7 — Foreign Matter (%)	eCoA reference	8 — Loss on Drying (%)	eCoA reference	9.1 — TAMC (CFU/g)	eCoA reference	9.2 — TYMC (CFU/g)	eCoA reference	9.3 — Bile-tol. gram-negative (CFU/g)	eCoA reference	9.4 — Salmonella	eCoA reference	9.5 — Escherichia coli	eCoA reference	10.1 — Aflatoxin B1 (µg/kg)	eCoA reference	10.2 — Total Aflatoxins (µg/kg)	eCoA reference	10.3 — Ochratoxin A (µg/kg)	eCoA reference	11.1 — Lead (Pb) (mg/kg)	eCoA reference	11.2 — Cadmium (Cd) (mg/kg)	eCoA reference	11.3 — Arsenic (As) (mg/kg)	eCoA reference	11.4 — Mercury (Hg) (mg/kg)	eCoA reference	12 — Pesticide Residues	eCoA reference
								A.C. Conforms to description		A.C. Conforms to description		A.C. Identity confirmed		A.C. Per target grade (QCSP 001 §01)			A.C. ≤ 1.0		A.C. ≤ 1.0		A.C. ≤ 2.0		A.C. ≤ 12.0		A.C. ≤ 10⁵		A.C. ≤ 10⁴		A.C. ≤ 10⁴		A.C. Absence /25 g		A.C. Absence /1 g		A.C. ≤ 2		A.C. ≤ 4		A.C. ≤ 20		A.C. ≤ 0.5		A.C. ≤ 0.3		A.C. ≤ 0.2		A.C. ≤ 0.1		A.C. ≤ LOQ (Ph. Eur. 2.8.13)	
8	2024-10	CoQ-PP-2026-0016	BSS1024_01	P050122	Blue Sunset Sherbet	BSS_THC22:CBD1	R1 · Jun–Jul 2025	Conforms	iCoA-PP-2026-0016 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0016 (proposed), 13.08.2026, PP	Missing / not tested	—	23.42	Grade II, 19.39 – 24.75	ППК25176, 10.07.2025, CNP	0.06	ППК25176, 10.07.2025, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0015 (proposed), 13.08.2026, PP	6.38	ППК25176, 10.07.2025, CNP	<10	626/1127/25, 02.07.2025, IPH	<10	626/1127/25, 02.07.2025, IPH	<10	626/1127/25, 02.07.2025, IPH	Одговара (absent)	626/1127/25, 02.07.2025, IPH	Одговара (absent)	626/1127/25, 02.07.2025, IPH	Missing / not tested	—	<2	3177/2025, 26.06.2025, IPH	Missing / not tested	—	N.D.	3177/2025, 26.06.2025, IPH	N.D.	3177/2025, 26.06.2025, IPH	0.112	3177/2025, 26.06.2025, IPH	N.D.	3177/2025, 26.06.2025, IPH	ND / <LOQ (13 analytes)	3177/2025, 26.06.2025, IPH
9	2024-10	CoQ-PP-2026-0004	CJ1024	—	Cap Junky	CJ_THC22.5:CBD1	R1 · Feb 2025	Conforms	iCoA-PP-2026-0018 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0018 (proposed), 13.08.2026, PP	Missing / not tested	—	23.00	Grade II, 19.75 – 25.25	ППК25052, 26.02.2025, CNP	0.05	ППК25052, 26.02.2025, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0017 (proposed), 13.08.2026, PP	5.91	ППК25052, 26.02.2025, CNP	8.4×10³	164/0272/25, 24.02.2025, IPH	<10	164/0272/25, 24.02.2025, IPH	<10	164/0272/25, 24.02.2025, IPH	Одговара (absent)	164/0272/25, 24.02.2025, IPH	Одговара (absent)	164/0272/25, 24.02.2025, IPH	Missing / not tested	—	<2	750/2025, 27.02.2025, IPH	Missing / not tested	—	0.036	750/2025, 27.02.2025, IPH	0.013	750/2025, 27.02.2025, IPH	0.063	750/2025, 27.02.2025, IPH	0.006	750/2025, 27.02.2025, IPH	ND / <LOQ (13 analytes)	750/2025, 27.02.2025, IPH
10	2024-10	CoQ-PP-2026-0007	GG1024	—	Gorilla Glue	GG_THC15:CBD1	R1 · Apr 2025	Confirms	n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed), 23.04.2025, PP	Conforms	iCoA-PP-2026-0019 (proposed), 13.08.2026, PP	Confirms	n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed), 23.04.2025, CNP	13.34	Grade III, 12.34 – 18.00	n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed), 23.04.2025, CNP	0.03	n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed), 23.04.2025, CNP	Missing / not tested	—	Confirms	n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed), 23.04.2025, PP	Missing / not tested	—	1.1·10^4	n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed), 23.04.2025, CNP	<10	n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed), 23.04.2025, CNP	<10^2 >10	n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed), 23.04.2025, CNP	Absent	n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed), 23.04.2025, CNP	Absent	n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed), 23.04.2025, CNP	Missing / not tested	—	<2	n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed), 23.04.2025, CNP	Missing / not tested	—	0.052	n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed), 23.04.2025, CNP	0.016	n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed), 23.04.2025, CNP	0.04	n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed), 23.04.2025, CNP	0.004	n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed), 23.04.2025, CNP	ND / <LOQ (13 analytes)	n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed), 23.04.2025, CNP
11	2024-10	CoQ-PP-2026-0006	GG1024_01	P050092	Gorilla Glue	GG_THC15:CBD1 / GG_THC21:CBD1	R1 · Apr 2025	Conforms	iCoA-PP-2026-0021 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0021 (proposed), 13.08.2026, PP	Missing / not tested	—	17.22	Grade III, 12.34 – 18.00	ППК25104, 17.04.2025, CNP	0.05	ППК25104, 17.04.2025, CNP	—	—	Conforms	iCoA-PP-2026-0020 (proposed), 13.08.2026, PP	7.54	ППК25104, 17.04.2025, CNP	5.1×10⁴	320/0587/25, 14.04.2025, IPH	4.2×10³	320/0587/25, 14.04.2025, IPH	<10	320/0587/25, 14.04.2025, IPH	Одговара (absent)	320/0587/25, 14.04.2025, IPH	Одговара (absent)	320/0587/25, 14.04.2025, IPH	—	—	<2	1766/2025, 11.04.2025, IPH	—	—	0.02	1766/2025, 11.04.2025, IPH	0.007	1766/2025, 11.04.2025, IPH	0.015	1766/2025, 11.04.2025, IPH	0.005	1766/2025, 11.04.2025, IPH	ND / <LOQ (13 analytes)	1766/2025, 11.04.2025, IPH
		CoQ-PP-2026-0078					R2 · Aug 2026	—	—	—	—			18.67	Grade II, 18.00 – 24.00	197-9-К/26, 07.08.2026, FARM	<LOQ %w/w	197-9-К/26, 07.08.2026, FARM	0.20	197-9-К/26, 07.08.2026, FARM	—	—	—	—	—	—	—	—	—	—	—	—	—	—	ND	197-9-М/26, 10.08.2026, FARM	ND ; ND ; ND ; ND (all four not detected)	197-9-М/26, 10.08.2026, FARM ; 197-9-М/26, 10.08.2026, FARM ; 197-9-М/26, 10.08.2026, FARM ; 197-9-М/26, 10.08.2026, FARM	ND	197-9-М/26, 10.08.2026, FARM	—	—	—	—	—	—	—	—	—	—
12	2024-10	CoQ-PP-2026-0011	GG1024_02	P050012	Gorilla Glue	GG_THC15:CBD1	R1 · May 2025	Conforms	iCoA-PP-2026-0023 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0023 (proposed), 13.08.2026, PP	Missing / not tested	—	15.95	Grade III, 12.34 – 18.00	ППК25140, 22.05.2025, CNP	0.05	ППК25140, 22.05.2025, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0022 (proposed), 13.08.2026, PP	6.88	ППК25140, 22.05.2025, CNP	2.1×10⁴	472/0863/25, 22.05.2025, IPH	1.9×10⁴	472/0863/25, 22.05.2025, IPH	<10	472/0863/25, 22.05.2025, IPH	Одговара (absent)	472/0863/25, 22.05.2025, IPH	Одговара (absent)	472/0863/25, 22.05.2025, IPH	Missing / not tested	—	<2	2472/2025, 30.05.2025, IPH	Missing / not tested	—	N.D.	2472/2025, 30.05.2025, IPH	N.D.	2472/2025, 30.05.2025, IPH	N.D.	2472/2025, 30.05.2025, IPH	N.D.	2472/2025, 30.05.2025, IPH	ND / <LOQ (13 analytes)	2472/2025, 30.05.2025, IPH
13	2024-10	CoQ-PP-2026-0001	HPA1024	—	High Pro Amnesia	HPA_THC16:CBD1	R1 · Jan 2025	Confirms	n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed), 23.01.2025, PP	Conforms	iCoA-PP-2026-0024 (proposed), 13.08.2026, PP	Confirms	n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed), 23.01.2025, CNP	14.97	Grade III, 13.50 – 19.39	n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed), 23.01.2025, CNP	0.04	n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed), 23.01.2025, CNP	—	—	Confirms	n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed), 23.01.2025, PP	Missing / not tested	—	5.2·10^4	n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed), 23.01.2025, CNP	7·10^2	n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed), 23.01.2025, CNP	<10 CFU/g [DATA INTEGRITY FLAG — see source]	n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed), 23.01.2025, CNP	Absent	n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed), 23.01.2025, CNP	Absent	n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed), 23.01.2025, CNP	—	—	<2	n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed), 23.01.2025, CNP	—	—	0.02	n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed), 23.01.2025, CNP	0.013	n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed), 23.01.2025, CNP	0.017	n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed), 23.01.2025, CNP	0.0026	n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed), 23.01.2025, CNP	ND / <LOQ (13 analytes)	n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed), 23.01.2025, CNP
		CoQ-PP-2026-0079					R2 · Aug 2026	—	—	—	—	—	—	17.31	Grade III, 13.50 – 19.39	197-13-К/26, 07.08.2026, FARM	<LOQ %w/w	197-13-К/26, 07.08.2026, FARM	0.36	197-13-К/26, 07.08.2026, FARM	—	—			—	—	—	—	—	—	—	—	—	—	ND	197-13-М/26, 10.08.2026, FARM	ND ; ND ; ND ; ND (all four aflatoxins not detected)	197-13-М/26, 10.08.2026, FARM ; 197-13-М/26, 10.08.2026, FARM ; 197-13-М/26, 10.08.2026, FARM ; 197-13-М/26, 10.08.2026, FARM	<LOQ	197-13-М/26, 10.08.2026, FARM	—	—	—	—	—	—	—	—	—	—
14	2024-10	CoQ-PP-2026-0012	HPA1024_01	P050052	High Pro Amnesia	HPA_THC22:CBD1	R1 · Jun 2025	Conforms	iCoA-PP-2026-0026 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0026 (proposed), 13.08.2026, PP	Missing / not tested	—	22.43	Grade II, 19.39 – 24.75	НИК22155, 24.06.2025, CNP	24.70% [DATA INTEGRITY FLAG — see source]	НИК22155, 24.06.2025, CNP	—	—	Conforms	iCoA-PP-2026-0025 (proposed), 13.08.2026, PP	6.36	НИК22155, 24.06.2025, CNP	9.6×10³	587/1066/25, 18.06.2025, IPH	1.5×10⁴	587/1066/25, 18.06.2025, IPH	<10	587/1066/25, 18.06.2025, IPH	Одговара (absent)	587/1066/25, 18.06.2025, IPH	Одговара (absent)	587/1066/25, 18.06.2025, IPH	—	—	<2	2995/2025, 19.06.2025, IPH	—	—	0.059	2995/2025, 19.06.2025, IPH	0.014	2995/2025, 19.06.2025, IPH	0.037	2995/2025, 19.06.2025, IPH	0.008	2995/2025, 19.06.2025, IPH	ND / <LOQ (13 analytes)	2995/2025, 19.06.2025, IPH
		CoQ-PP-2026-0080					R2 · Aug 2026	—	—	—	—			21.61	Grade II, 19.39 – 24.75	197-14-К/26, 07.08.2026, FARM	<LOQ %w/w	197-14-К/26, 07.08.2026, FARM	<LOQ %w/w	197-14-К/26, 07.08.2026, FARM	—	—	—	—	—	—	—	—	—	—	—	—	—	—	ND	197-14-М/26, 10.08.2026, FARM	ND ; ND ; ND ; ND (all four not detected)	197-14-М/26, 10.08.2026, FARM ; 197-14-М/26, 10.08.2026, FARM ; 197-14-М/26, 10.08.2026, FARM ; 197-14-М/26, 10.08.2026, FARM	2.06 µg/kg  — DETECTED, >LOQ	197-14-М/26, 10.08.2026, FARM	—	—	—	—	—	—	—	—	—	—
