#	Production	CoQ doc. code (proposed)	Batch	P-Number	Strain	Product code	Round	1 — Macroscopic ID (Test A)	eCoA reference	2 — Microscopic ID (Test B)	eCoA reference	3 — HPTLC ID (Test C)	eCoA reference	4 — Total Δ⁹-THC (%)	Grade (v.02)	eCoA reference	5 — Total CBD (%)	eCoA reference	6 — Total CBN (%)	eCoA reference	7 — Foreign Matter (%)	eCoA reference	8 — Loss on Drying (%)	eCoA reference	9.1 — TAMC (CFU/g)	eCoA reference	9.2 — TYMC (CFU/g)	eCoA reference	9.3 — Bile-tol. gram-negative (CFU/g)	eCoA reference	9.4 — Salmonella	eCoA reference	9.5 — Escherichia coli	eCoA reference	10.1 — Aflatoxin B1 (µg/kg)	eCoA reference	10.2 — Total Aflatoxins (µg/kg)	eCoA reference	10.3 — Ochratoxin A (µg/kg)	eCoA reference	11.1 — Lead (Pb) (mg/kg)	eCoA reference	11.2 — Cadmium (Cd) (mg/kg)	eCoA reference	11.3 — Arsenic (As) (mg/kg)	eCoA reference	11.4 — Mercury (Hg) (mg/kg)	eCoA reference	12 — Pesticide Residues	eCoA reference
								A.C. Conforms to description		A.C. Conforms to description		A.C. Identity confirmed		A.C. Per target grade (QCSP 001 §01)			A.C. ≤ 1.0		A.C. ≤ 1.0		A.C. ≤ 2.0		A.C. ≤ 12.0		A.C. ≤ 10⁵		A.C. ≤ 10⁴		A.C. ≤ 10⁴		A.C. Absence /25 g		A.C. Absence /1 g		A.C. ≤ 2		A.C. ≤ 4		A.C. ≤ 20		A.C. ≤ 0.5		A.C. ≤ 0.3		A.C. ≤ 0.2		A.C. ≤ 0.1		A.C. ≤ LOQ (Ph. Eur. 2.8.13)	
28	2025-07	CoQ-PP-2026-0027	CJ072501	P050252	Cap Junky	CJ_THC22.5:CBD1	R1 · Nov–Dec 2025	Conforms	iCoA-PP-2026-0050 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0050 (proposed), 13.08.2026, PP	Missing / not tested	—	23.70	Grade II, 19.75 – 25.25	ППК25367, 28.11.2025, CNP	0.09	ППК25367, 28.11.2025, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0049 (proposed), 13.08.2026, PP	8.22	ППК25367, 28.11.2025, CNP	4.5×10^3	1218/2169/25, 01.12.2025, IPH	3.5×10^3	1218/2169/25, 01.12.2025, IPH	<10	1218/2169/25, 01.12.2025, IPH	Odgovara (Absent)	1218/2169/25, 01.12.2025, IPH	Odgovara (Absent)	1218/2169/25, 01.12.2025, IPH	Missing / not tested	—	<2	5697/2025, 02.12.2025, IPH	Missing / not tested	—	0.013	5697/2025, 02.12.2025, IPH	0.004	5697/2025, 02.12.2025, IPH	0.011	5697/2025, 02.12.2025, IPH	0.002	5697/2025, 02.12.2025, IPH	Lindan (Gama HCH): Н.д. (not detected); Aldrin: Н.д. (not detected); Dieldrin i Aldrin (expressed as Dieldrin): Н.д. (not detected); HCB (Hexachlorobenzene): Н.д. (not detected); 4,4' DDE: Н.д. (not detected); 4,4' DDD: Н.д. (not detected); 4,4' DDT: Н.д. (not detected); Vkupno DDT (Total DDT): Н.д. (not detected); delta HCH: Н.д. (not detected); alpha HCH: Н.д. (not detected); beta HCH: Н.д. (not detected); Endrin: Н.д. (not detected); Chlorpyriphos-methyl: Н.д. (not detected); Chlorpyrifos (Chlorpyriphos-ethyl): Н.д. (not detected); Heptachlor (sum of Heptachlor + Heptachlor epoxide): Н.д. (not detected); Endosulfan (alpha, beta and endosulfan sulfate): Н.д. (not detected); Deltamethrin: Н.д. (not detected); Chlordane (sum of cis- and trans-chlordane): Н.д. (not detected); Metoxychlor: Н.д. (not detected); Heptachlor epoxide: Н.д. (not detected); Endrin aldehyde: Н.д. (not detected); alpha Endosulfan: Н.д. (not detected); beta Endosulfan: Н.д. (not detected); Endrin keton: Н.д. (not detected); trans-Chlordane: Н.д. (not detected); cis-Chlordane: Н.д. (not detected); Dieldrin: Н.д. (not detected); Heptachlor: Н.д. (not detected); Endosulfan sulfate: Н.д. (not detected)	5697/2025, 02.12.2025, IPH
29	2025-07	CoQ-PP-2026-0030	CLE072501	P050282	Clemosa a bud	CLE_THC7.5:CBD1	R1 · Nov 2025 – Jan 2026	Conforms	iCoA-PP-2026-0052 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0052 (proposed), 13.08.2026, PP	Missing / not tested	—	8.02	Grade V, 5.00 – 10.00	PP CoA #027 / ППК25370, 21.01.2026, CNP	0.04	PP CoA #027 / ППК25370, 21.01.2026, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0051 (proposed), 13.08.2026, PP	9.68	PP CoA #027 / ППК25370, 21.01.2026, CNP	<10	1219/2170/25, 26.11.2025, IPH	<10	1219/2170/25, 26.11.2025, IPH	<10	1219/2170/25, 26.11.2025, IPH	Odgovara (Absent)	1219/2170/25, 26.11.2025, IPH	Odgovara (Absent)	1219/2170/25, 26.11.2025, IPH	Missing / not tested	—	2.2	5700/2025, 02.12.2025, IPH	Missing / not tested	—	0.032	5700/2025, 02.12.2025, IPH	0.002	5700/2025, 02.12.2025, IPH	0.013	5700/2025, 02.12.2025, IPH	0.021	5700/2025, 02.12.2025, IPH	Lindan (Gama HCH): Н.д. (not detected); Aldrin: Н.д. (not detected); Dieldrin i Aldrin (expressed as Dieldrin): Н.д. (not detected); HCB (Hexachlorobenzene): Н.д. (not detected); 4,4' DDE: Н.д. (not detected); 4,4' DDD: Н.д. (not detected); 4,4' DDT: Н.д. (not detected); Vkupno DDT (Total DDT): Н.д. (not detected); delta HCH: Н.д. (not detected); alpha HCH: Н.д. (not detected); beta HCH: Н.д. (not detected); Endrin: Н.д. (not detected); Chlorpyriphos-methyl: Н.д. (not detected); Chlorpyrifos (Chlorpyriphos-ethyl): Н.д. (not detected); Heptachlor (sum of Heptachlor + Heptachlor epoxide): Н.д. (not detected); Endosulfan (alpha, beta and endosulfan sulfate): Н.д. (not detected); Deltamethrin: Н.д. (not detected); Chlordane (sum of cis- and trans-chlordane): Н.д. (not detected); Metoxychlor: Н.д. (not detected); Heptachlor epoxide: Н.д. (not detected); Endrin aldehyde: Н.д. (not detected); alpha Endosulfan: Н.д. (not detected); beta Endosulfan: Н.д. (not detected); Endrin keton: Н.д. (not detected); trans-Chlordane: Н.д. (not detected); cis-Chlordane: Н.д. (not detected); Dieldrin: Н.д. (not detected); Heptachlor: Н.д. (not detected); Endosulfan sulfate: Н.д. (not detected)	5700/2025, 02.12.2025, IPH
30	2025-07	CoQ-PP-2026-0031	GP072501/1	P050292	Grape Pie	GP_THC20:CBD1	R1 · Dec 2025 – Jan 2026	Conforms	iCoA-PP-2026-0054 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0054 (proposed), 13.08.2026, PP	Missing / not tested	—	21.36	Grade III, 18.00 – 22.00	PP CoA #018 / ППК25378, 21.01.2026, CNP	0.11	PP CoA #018 / ППК25378, 21.01.2026, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0053 (proposed), 13.08.2026, PP	6.62	PP CoA #018 / ППК25378, 21.01.2026, CNP	6×10^3	1228/2194/25, Issued ~Dec 2025, IPH	6.5×10^3	1228/2194/25, Issued ~Dec 2025, IPH	<10	1228/2194/25, Issued ~Dec 2025, IPH	Odgovara (Absent)	1228/2194/25, Issued ~Dec 2025, IPH	Odgovara (Absent)	1228/2194/25, Issued ~Dec 2025, IPH	Missing / not tested	—	<2	5886/2025, 12.12.2025, IPH	Missing / not tested	—	0.028	5886/2025, 12.12.2025, IPH	0.003	5886/2025, 12.12.2025, IPH	0.03	5886/2025, 12.12.2025, IPH	0.025	5886/2025, 12.12.2025, IPH	Lindan (Gama HCH): Н.д. (not detected); Aldrin: Н.д. (not detected); Dieldrin i Aldrin (expressed as Dieldrin): Н.д. (not detected); HCB (Hexachlorobenzene): Н.д. (not detected); 4,4' DDE: Н.д. (not detected); 4,4' DDD: Н.д. (not detected); 4,4' DDT: Н.д. (not detected); Vkupno DDT (Total DDT): Н.д. (not detected); delta HCH: Н.д. (not detected); alpha HCH: Н.д. (not detected); beta HCH: Н.д. (not detected); Endrin: Н.д. (not detected); Chlorpyriphos-methyl: Н.д. (not detected); Chlorpyrifos (Chlorpyriphos-ethyl): Н.д. (not detected); Heptachlor (sum of Heptachlor + Heptachlor epoxide): Н.д. (not detected); Endosulfan (alpha, beta and endosulfan sulfate): Н.д. (not detected); Deltamethrin: Н.д. (not detected); Chlordane (sum of cis- and trans-chlordane): Н.д. (not detected); Metoxychlor: Н.д. (not detected); Heptachlor epoxide: Н.д. (not detected); Endrin aldehyde: Н.д. (not detected); alpha Endosulfan: Н.д. (not detected); beta Endosulfan: Н.д. (not detected); Endrin keton: Н.д. (not detected); trans-Chlordane: Н.д. (not detected); cis-Chlordane: Н.д. (not detected); Dieldrin: Н.д. (not detected); Heptachlor: Н.д. (not detected); Endosulfan sulfate: Н.д. (not detected)	5886/2025, 12.12.2025, IPH
31	2025-07	CoQ-PP-2026-0032	GP072501/2	P050302	Grape Pie	GP_THC20:CBD1	R1 · Dec 2025 – Jan 2026	Conforms	iCoA-PP-2026-0056 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0056 (proposed), 13.08.2026, PP	Missing / not tested	—	19.81	Grade III, 18.00 – 22.00	PP CoA #019 / ППК25379, 21.01.2026, CNP	0.10	PP CoA #019 / ППК25379, 21.01.2026, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0055 (proposed), 13.08.2026, PP	7.41	PP CoA #019 / ППК25379, 21.01.2026, CNP	2×10^2	1229/2195/25, Issued ~Dec 2025, IPH	3×10^2	1229/2195/25, Issued ~Dec 2025, IPH	<10	1229/2195/25, Issued ~Dec 2025, IPH	Odgovara (Absent)	1229/2195/25, Issued ~Dec 2025, IPH	Odgovara (Absent)	1229/2195/25, Issued ~Dec 2025, IPH	Missing / not tested	—	<2	5887/2025, 12.12.2025, IPH	Missing / not tested	—	0.017	5887/2025, 12.12.2025, IPH	0.0028	5887/2025, 12.12.2025, IPH	0.02	5887/2025, 12.12.2025, IPH	0.019	5887/2025, 12.12.2025, IPH	Lindan (Gama HCH): Н.д. (not detected); Aldrin: Н.д. (not detected); Dieldrin i Aldrin (expressed as Dieldrin): Н.д. (not detected); HCB (Hexachlorobenzene): Н.д. (not detected); 4,4' DDE: Н.д. (not detected); 4,4' DDD: Н.д. (not detected); 4,4' DDT: Н.д. (not detected); Vkupno DDT (Total DDT): Н.д. (not detected); delta HCH: Н.д. (not detected); alpha HCH: Н.д. (not detected); beta HCH: Н.д. (not detected); Endrin: Н.д. (not detected); Chlorpyriphos-methyl: Н.д. (not detected); Chlorpyrifos (Chlorpyriphos-ethyl): Н.д. (not detected); Heptachlor (sum of Heptachlor + Heptachlor epoxide): Н.д. (not detected); Endosulfan (alpha, beta and endosulfan sulfate): Н.д. (not detected); Deltamethrin: Н.д. (not detected); Chlordane (sum of cis- and trans-chlordane): Н.д. (not detected); Metoxychlor: Н.д. (not detected); Heptachlor epoxide: Н.д. (not detected); Endrin aldehyde: Н.д. (not detected); alpha Endosulfan: Н.д. (not detected); beta Endosulfan: Н.д. (not detected); Endrin keton: Н.д. (not detected); trans-Chlordane: Н.д. (not detected); cis-Chlordane: Н.д. (not detected); Dieldrin: Н.д. (not detected); Heptachlor: Н.д. (not detected); Endosulfan sulfate: Н.д. (not detected)	5887/2025, 12.12.2025, IPH
32	2025-07	CoQ-PP-2026-0033	PM072501	P050272	Permanent Marker	PM_THC11.5:CBD1	R1 · Nov 2025 – Jan 2026	Confirms	PP CoA #026, 21.01.2026, PP	Conforms	iCoA-PP-2026-0057 (proposed), 13.08.2026, PP	Confirms	ППК25368, 28.11.2025, CNP	10.01	Grade IV, 9.01 – 14.00	ППК25368, 28.11.2025, CNP	0.04	ППК25368, 28.11.2025, CNP	Missing / not tested	—	Confirms	PP CoA #026, 21.01.2026, PP	9.52	ППК25368, 28.11.2025, CNP	110	1220/2171/25, 01.12.2025, IPH	200	1220/2171/25, 01.12.2025, IPH	<10	1220/2171/25, 01.12.2025, IPH	Odgovara (Absent)	1220/2171/25, 01.12.2025, IPH	Odgovara (Absent)	1220/2171/25, 01.12.2025, IPH	Missing / not tested	—	<2	5698/2025, 02.12.2025, IPH	Missing / not tested	—	0.021	5698/2025, 02.12.2025, IPH	0.001	5698/2025, 02.12.2025, IPH	0.012	5698/2025, 02.12.2025, IPH	0.003	5698/2025, 02.12.2025, IPH	Lindan (Gama HCH): Н.д. (not detected); Aldrin: Н.д. (not detected); Dieldrin i Aldrin (expressed as Dieldrin): Н.д. (not detected); HCB (Hexachlorobenzene): Н.д. (not detected); 4,4' DDE: Н.д. (not detected); 4,4' DDD: Н.д. (not detected); 4,4' DDT: Н.д. (not detected); Vkupno DDT (Total DDT): Н.д. (not detected); delta HCH: Н.д. (not detected); alpha HCH: Н.д. (not detected); beta HCH: Н.д. (not detected); Endrin: Н.д. (not detected); Chlorpyriphos-methyl: Н.д. (not detected); Chlorpyrifos (Chlorpyriphos-ethyl): Н.д. (not detected); Heptachlor (sum of Heptachlor + Heptachlor epoxide): Н.д. (not detected); Endosulfan (alpha, beta and endosulfan sulfate): Н.д. (not detected); Deltamethrin: Н.д. (not detected); Chlordane (sum of cis- and trans-chlordane): Н.д. (not detected); Metoxychlor: Н.д. (not detected); Heptachlor epoxide: Н.д. (not detected); Endrin aldehyde: Н.д. (not detected); alpha Endosulfan: Н.д. (not detected); beta Endosulfan: Н.д. (not detected); Endrin keton: Н.д. (not detected); trans-Chlordane: Н.д. (not detected); cis-Chlordane: Н.д. (not detected); Dieldrin: Н.д. (not detected); Heptachlor: Н.д. (not detected); Endosulfan sulfate: Н.д. (not detected)	5698/2025, 02.12.2025, IPH
33	2025-07	CoQ-PP-2026-0028	WC072501	P050262	Wedding Crasher	WC_THC22.5:CBD1	R1 · Nov–Dec 2025	Conforms	iCoA-PP-2026-0059 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0059 (proposed), 13.08.2026, PP	Missing / not tested	—	22.11	Grade II, 20.00 – 25.00	ППК25369, 28.11.2025, CNP	0.06	ППК25369, 28.11.2025, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0058 (proposed), 13.08.2026, PP	8.94	ППК25369, 28.11.2025, CNP	100	1221/2172/25, 01.12.2025, IPH	90	1221/2172/25, 01.12.2025, IPH	<10	1221/2172/25, 01.12.2025, IPH	Odgovara (Absent)	1221/2172/25, 01.12.2025, IPH	Odgovara (Absent)	1221/2172/25, 01.12.2025, IPH	Missing / not tested	—	<2	5699/2025, 02.12.2025, IPH	Missing / not tested	—	0.023	5699/2025, 02.12.2025, IPH	0.005	5699/2025, 02.12.2025, IPH	0.006	5699/2025, 02.12.2025, IPH	0.01	5699/2025, 02.12.2025, IPH	Lindan (Gama HCH): Н.д. (not detected); Aldrin: Н.д. (not detected); Dieldrin i Aldrin (expressed as Dieldrin): Н.д. (not detected); HCB (Hexachlorobenzene): Н.д. (not detected); 4,4' DDE: Н.д. (not detected); 4,4' DDD: Н.д. (not detected); 4,4' DDT: Н.д. (not detected); Vkupno DDT (Total DDT): Н.д. (not detected); delta HCH: Н.д. (not detected); alpha HCH: Н.д. (not detected); beta HCH: Н.д. (not detected); Endrin: Н.д. (not detected); Chlorpyriphos-methyl: Н.д. (not detected); Chlorpyrifos (Chlorpyriphos-ethyl): Н.д. (not detected); Heptachlor (sum of Heptachlor + Heptachlor epoxide): Н.д. (not detected); Endosulfan (alpha, beta and endosulfan sulfate): Н.д. (not detected); Deltamethrin: Н.д. (not detected); Chlordane (sum of cis- and trans-chlordane): Н.д. (not detected); Metoxychlor: Н.д. (not detected); Heptachlor epoxide: Н.д. (not detected); Endrin aldehyde: Н.д. (not detected); alpha Endosulfan: Н.д. (not detected); beta Endosulfan: Н.д. (not detected); Endrin keton: Н.д. (not detected); trans-Chlordane: Н.д. (not detected); cis-Chlordane: Н.д. (not detected); Dieldrin: Н.д. (not detected); Heptachlor: Н.д. (not detected); Endosulfan sulfate: Н.д. (not detected)	5699/2025, 02.12.2025, IPH
34	2025-08	CoQ-PP-2026-0039	CJ082501/1	P060022	Cap Junky	CJ_THC22.5:CBD1	R1 · Jan–Feb 2026	Confirms	PP CoA #041, 20.02.2026, PP	Conforms	iCoA-PP-2026-0060 (proposed), 13.08.2026, PP	Confirms	ППК26002, 21.01.2026, CNP	24.96	Grade II, 19.75 – 25.25	ППК26002, 21.01.2026, CNP	0.09	ППК26002, 21.01.2026, CNP	Missing / not tested	—	Confirms	PP CoA #041, 20.02.2026, PP	7.21	ППК26002, 21.01.2026, CNP	1.5×10^2	8/0011/26, 20.01.2026, IPH	1.3×10^2	8/0011/26, 20.01.2026, IPH	<10	8/0011/26, 20.01.2026, IPH	Odgovara (Absent)	8/0011/26, 20.01.2026, IPH	Odgovara (Absent)	8/0011/26, 20.01.2026, IPH	Missing / not tested	—	<2	81/2026, 02.02.2026, IPH	Missing / not tested	—	0.075	81/2026, 02.02.2026, IPH	Н.д.	81/2026, 02.02.2026, IPH	Н.д.	81/2026, 02.02.2026, IPH	Н.д.	81/2026, 02.02.2026, IPH	Lindan (Gama HCH): Н.д. (not detected); Aldrin: Н.д. (not detected); Dieldrin i Aldrin (expressed as Dieldrin): Н.д. (not detected); HCB (Hexachlorobenzene): Н.д. (not detected); 4,4' DDE: Н.д. (not detected); 4,4' DDD: Н.д. (not detected); 4,4' DDT: Н.д. (not detected); Vkupno DDT (Total DDT): Н.д. (not detected); delta HCH: Н.д. (not detected); alpha HCH: Н.д. (not detected); beta HCH: Н.д. (not detected); Endrin: Н.д. (not detected); Chlorpyriphos-methyl: Н.д. (not detected); Chlorpyrifos (Chlorpyriphos-ethyl): Н.д. (not detected); Heptachlor (sum of Heptachlor + Heptachlor epoxide): Н.д. (not detected); Endosulfan (alpha, beta and endosulfan sulfate): Н.д. (not detected); Deltamethrin: Н.д. (not detected); Chlordane (sum of cis- and trans-chlordane): Н.д. (not detected); Metoxychlor: Н.д. (not detected); Heptachlor epoxide: Н.д. (not detected); Endrin aldehyde: Н.д. (not detected); alpha Endosulfan: Н.д. (not detected); beta Endosulfan: Н.д. (not detected); Endrin keton: Н.д. (not detected); trans-Chlordane: Н.д. (not detected); cis-Chlordane: Н.д. (not detected); Dieldrin: Н.д. (not detected); Heptachlor: Н.д. (not detected); Endosulfan sulfate: Н.д. (not detected)	81/2026, 02.02.2026, IPH
35	2025-08	CoQ-PP-2026-0040	CJ082501/2	P060032	Cap Junky	CJ_THC22.5:CBD1 / CJ_THC17:CBD1	R1 · Jan–Feb 2026	Confirms	PP CoA #034, 20.02.2026, PP	Conforms	iCoA-PP-2026-0061 (proposed), 13.08.2026, PP	Confirms	ППК26003, 21.01.2026, CNP	20.84	Grade II, 19.75 – 25.25	ППК26003, 21.01.2026, CNP	0.08	ППК26003, 21.01.2026, CNP	—	—	Confirms	PP CoA #034, 20.02.2026, PP	7.37	ППК26003, 21.01.2026, CNP	9.5×10^2	4/0007/26, 20.01.2026, IPH	1.2×10^3	4/0007/26, 20.01.2026, IPH	< 10^2 and > 10	4/0007/26, 20.01.2026, IPH	Odgovara (Absent)	4/0007/26, 20.01.2026, IPH	<10	4/0007/26, 20.01.2026, IPH	—	—	<2	82/2026, 02.02.2026, IPH	—	—	0.073	82/2026, 02.02.2026, IPH	Н.д.	82/2026, 02.02.2026, IPH	Н.д.	82/2026, 02.02.2026, IPH	Н.д.	82/2026, 02.02.2026, IPH	Lindan (Gama HCH): Н.д. (not detected); Aldrin: Н.д. (not detected); Dieldrin i Aldrin (expressed as Dieldrin): Н.д. (not detected); HCB (Hexachlorobenzene): Н.д. (not detected); 4,4' DDE: Н.д. (not detected); 4,4' DDD: Н.д. (not detected); 4,4' DDT: Н.д. (not detected); Vkupno DDT (Total DDT): Н.д. (not detected); delta HCH: Н.д. (not detected); alpha HCH: Н.д. (not detected); beta HCH: Н.д. (not detected); Endrin: Н.д. (not detected); Chlorpyriphos-methyl: Н.д. (not detected); Chlorpyrifos (Chlorpyriphos-ethyl): Н.д. (not detected); Heptachlor (sum of Heptachlor + Heptachlor epoxide): Н.д. (not detected); Endosulfan (alpha, beta and endosulfan sulfate): Н.д. (not detected); Deltamethrin: Н.д. (not detected); Chlordane (sum of cis- and trans-chlordane): Н.д. (not detected); Metoxychlor: Н.д. (not detected); Heptachlor epoxide: Н.д. (not detected); Endrin aldehyde: Н.д. (not detected); alpha Endosulfan: Н.д. (not detected); beta Endosulfan: Н.д. (not detected); Endrin keton: Н.д. (not detected); trans-Chlordane: Н.д. (not detected); cis-Chlordane: Н.д. (not detected); Dieldrin: Н.д. (not detected); Heptachlor: Н.д. (not detected); Endosulfan sulfate: Н.д. (not detected)	82/2026, 02.02.2026, IPH
		CoQ-PP-2026-0086					R2 · Aug 2026	—	—	—	—	—	—	18.29	Grade III, 13.93 – 19.75	197-5-К/26, 07.08.2026, FARM	<LOQ %w/w	197-5-К/26, 07.08.2026, FARM	<LOQ %w/w	197-5-К/26, 07.08.2026, FARM	—	—	—	—	—	—	—	—	—	—	—	—	—	—	ND µg/kg (all four)	197-5-М/26, 10.08.2026, FARM	ND (all four not detected)	197-5-М/26, 10.08.2026, FARM	ND	197-5-М/26, 10.08.2026, FARM	—	—	—	—	—	—	—	—	—	—
36	2025-08	CoQ-PP-2026-0034	GP082501/1	P050312	Grape Pie	GP_THC20:CBD1	R1 · Dec 2025 – Jan 2026	Conforms	iCoA-PP-2026-0063 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0063 (proposed), 13.08.2026, PP	Missing / not tested	—	21.29	Grade III, 18.00 – 22.00	PP CoA #020 / ППК25380, 21.01.2026, CNP	0.08	PP CoA #020 / ППК25380, 21.01.2026, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0062 (proposed), 13.08.2026, PP	6.29	PP CoA #020 / ППК25380, 21.01.2026, CNP	4.3×10^2	1226/2192/25, Issued Dec 2025, IPH	1×10^3	1226/2192/25, Issued Dec 2025, IPH	< 10^3 and > 10^2	1226/2192/25, Issued Dec 2025, IPH	Odgovara (Absent)	1226/2192/25, Issued Dec 2025, IPH	Odgovara (Absent)	1226/2192/25, Issued Dec 2025, IPH	Missing / not tested	—	<2	5888/2025, 12.12.2025, IPH	Missing / not tested	—	0.014	5888/2025, 12.12.2025, IPH	0.003	5888/2025, 12.12.2025, IPH	0.02	5888/2025, 12.12.2025, IPH	0.017	5888/2025, 12.12.2025, IPH	Lindan (Gama HCH): Н.д. (not detected); Aldrin: Н.д. (not detected); Dieldrin i Aldrin (expressed as Dieldrin): Н.д. (not detected); HCB (Hexachlorobenzene): Н.д. (not detected); 4,4' DDE: Н.д. (not detected); 4,4' DDD: Н.д. (not detected); 4,4' DDT: Н.д. (not detected); Vkupno DDT (Total DDT): Н.д. (not detected); delta HCH: Н.д. (not detected); alpha HCH: Н.д. (not detected); beta HCH: Н.д. (not detected); Endrin: Н.д. (not detected); Chlorpyriphos-methyl: Н.д. (not detected); Chlorpyrifos (Chlorpyriphos-ethyl): Н.д. (not detected); Heptachlor (sum of Heptachlor + Heptachlor epoxide): Н.д. (not detected); Endosulfan (alpha, beta and endosulfan sulfate): Н.д. (not detected); Deltamethrin: Н.д. (not detected); Chlordane (sum of cis- and trans-chlordane): Н.д. (not detected); Metoxychlor: Н.д. (not detected); Heptachlor epoxide: Н.д. (not detected); Endrin aldehyde: Н.д. (not detected); alpha Endosulfan: Н.д. (not detected); beta Endosulfan: Н.д. (not detected); Endrin keton: Н.д. (not detected); trans-Chlordane: Н.д. (not detected); cis-Chlordane: Н.д. (not detected); Dieldrin: Н.д. (not detected); Heptachlor: Н.д. (not detected); Endosulfan sulfate: Н.д. (not detected)	5888/2025, 12.12.2025, IPH
37	2025-08	CoQ-PP-2026-0035	GP082501/2	P050322	Grape Pie	GP_THC16:CBD1	R1 · Dec 2025 – Jan 2026	Conforms	iCoA-PP-2026-0065 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0065 (proposed), 13.08.2026, PP	Missing / not tested	—	14.83	Grade IV, 13.83 – 18.00	PP CoA #021 / ППК25381, 21.01.2026, CNP	0.11	PP CoA #021 / ППК25381, 21.01.2026, CNP	—	—	Conforms	iCoA-PP-2026-0064 (proposed), 13.08.2026, PP	6.88	PP CoA #021 / ППК25381, 21.01.2026, CNP	3.2×10^3	1227/2193/25, 05.12.2025, IPH	5.8×10^3	1227/2193/25, 05.12.2025, IPH	<10¹ and >10³	1227/2193/25, 05.12.2025, IPH	Odgovara (Absent)	1227/2193/25, 05.12.2025, IPH	Odgovara (Absent)	1227/2193/25, 05.12.2025, IPH	—	—	<2	5889/2025, 12.12.2025, IPH	—	—	0.013	5889/2025, 12.12.2025, IPH	0.003	5889/2025, 12.12.2025, IPH	0.02	5889/2025, 12.12.2025, IPH	0.016	5889/2025, 12.12.2025, IPH	Lindan (Gama HCH): Н.д. (not detected); Aldrin: Н.д. (not detected); Dieldrin i Aldrin (expressed as Dieldrin): Н.д. (not detected); HCB (Hexachlorobenzene): Н.д. (not detected); 4,4' DDE: Н.д. (not detected); 4,4' DDD: Н.д. (not detected); 4,4' DDT: Н.д. (not detected); Vkupno DDT (Total DDT): Н.д. (not detected); delta HCH: Н.д. (not detected); alpha HCH: Н.д. (not detected); beta HCH: Н.д. (not detected); Endrin: Н.д. (not detected); Chlorpyriphos-methyl: Н.д. (not detected); Chlorpyrifos (Chlorpyriphos-ethyl): Н.д. (not detected); Heptachlor (sum of Heptachlor + Heptachlor epoxide): Н.д. (not detected); Endosulfan (alpha, beta and endosulfan sulfate): Н.д. (not detected); Deltamethrin: Н.д. (not detected); Chlordane (sum of cis- and trans-chlordane): Н.д. (not detected); Metoxychlor: Н.д. (not detected); Heptachlor epoxide: Н.д. (not detected); Endrin aldehyde: Н.д. (not detected); alpha Endosulfan: Н.д. (not detected); beta Endosulfan: Н.д. (not detected); Endrin keton: Н.д. (not detected); trans-Chlordane: Н.д. (not detected); cis-Chlordane: Н.д. (not detected); Dieldrin: Н.д. (not detected); Heptachlor: Н.д. (not detected); Endosulfan sulfate: Н.д. (not detected)	5889/2025, 12.12.2025, IPH
		CoQ-PP-2026-0087					R2 · Aug 2026	—	—	—	—			15.70	Grade IV, 13.83 – 18.00	197-12-К/26, 07.08.2026, FARM	<LOQ %w/w	197-12-К/26, 07.08.2026, FARM	<LOQ %w/w	197-12-К/26, 07.08.2026, FARM	—	—	—	—	—	—	—	—	—	—	—	—	—	—	ND µg/kg (all four)	197-12-М/26, 10.08.2026, FARM	ND (all four not detected)	197-12-М/26, 10.08.2026, FARM	ND	197-12-М/26, 10.08.2026, FARM	—	—	—	—	—	—	—	—	—	—
