code	cu	p	strain	dir	series	tested	packaging	issued	conforms	path
iCoA-PP_26-068	FB012603V	P060392	Fat Bastard	INITIAL	initial release	23.05.2026	23.05.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-068_P060392_FB_Fat_Bastard_Initial.html
iCoA-PP_26-069	JD012603	P060422	Jelly Donuts	INITIAL	initial release	23.05.2026	23.05.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-069_P060422_JD_Jelly_Donuts_Initial.html
iCoA-PP_26-070	JD012603	P060362	Jelly Donuts	INITIAL	initial release	23.05.2026	23.05.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-070_P060362_JD_Jelly_Donuts_Initial.html
iCoA-PP_26-071	FB012602*	P060352	Fat Bastard	INITIAL	initial release	23.05.2026	23.05.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-071_P060352_FB_Fat_Bastard_Initial.html
iCoA-PP_26-072	CC012603	P060372	Cash Cow	INITIAL	initial release	24.05.2026	24.05.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-072_P060372_CC_Cash_Cow_Initial.html
iCoA-PP_26-073	GG012603	P060402	Gorilla Glue	INITIAL	initial release	24.05.2026	24.05.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-073_P060402_GG_Gorilla_Glue_Initial.html
iCoA-PP_26-074	JD012603	P060412	Jelly Donuts	INITIAL	initial release	24.05.2026	24.05.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-074_P060412_JD_Jelly_Donuts_Initial.html
iCoA-PP_26-075	SCR012603	P060382	Scrambler	INITIAL	initial release	25.05.2026	25.05.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-075_P060382_SCR_Scrambler_Initial.html
iCoA-PP_26-076	SCR012601*	P060342	Scrambler	INITIAL	initial release	25.05.2026	25.05.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-076_P060342_S_Scrambler_Initial.html
iCoA-PP_26-077	BSS1024_01/1	P050122	Blue Sunset Sherbet	INITIAL	initial release	01.09.2025	01.09.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-077_P050122_BSS_Blue_Sunset_Sherbet_Initial.html
iCoA-PP_26-078	CC042601	N/A — no P batch assigned	Cash Cow	INITIAL	initial release			03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-078_CC042601_CC_Cash_Cow_Initial.html
iCoA-PP_26-079	FB042601	N/A — no P batch assigned	Fat Bastard	INITIAL	initial release			03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-079_FB042601_FB_Fat_Bastard_Initial.html
iCoA-PP_26-080	OMP1024_01	P050042	Orange Punch Mimosa	INITIAL	initial release	20.06.2025	20.06.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-080_P050042_OPM_Orange_Punch_Mimosa_Initial.html
