Purely Plant — Batch QC Testing Results Register
"One row per batch · consolidated from eCoA_DATABASE (291 certificates, complete mirror of the ingestion folder) · CoQ-forming value = latest release-type result from a laboratory scoped for the parameter · stability results excluded · values exactly as printed on the certificate; units in headers only · built 27.08.2026"

No.,Production,Tranche,Batch No. (cultivation),P-number,Strain,Product code,CoQ doc. code (proposed),First result,Latest result,# eCoAs,Total Δ9-THC [%],Total CBD [%],Total CBN [%],Loss on Drying [%],Foreign Matter [%],Macroscopic ID,Microscopic ID,Identification (HPTLC),TAMC [CFU/g],TYMC [CFU/g],Bile-tolerant GNB [CFU/g],Salmonella [/25 g],E. coli [/1 g],Total Aflatoxins [µg/kg],Aflatoxin B1 [µg/kg],Ochratoxin A [µg/kg],Lead (Pb) [mg/kg],Cadmium (Cd) [mg/kg],Arsenic (As) [mg/kg],Mercury (Hg) [mg/kg],Pesticide Residues
,,,,,,A.C. →,,,,,per target grade (QCSP 001 §01),≤ 1.0,≤ 1.0,≤ 12.0,≤ 2.0,Conforms to description,Conforms to description,Identity confirmed,≤ 10^5,≤ 10^4,≤ 10^4,Absence /25 g,Absence /1 g,≤ 4,≤ 2,≤ 20,≤ 0.5,≤ 0.3,≤ 0.2,≤ 0.1,≤ LOQ (Ph. Eur. 2.8.13)
11,2024-10,3,GG1024_02,P050012,Gorilla Glue,GG_THC15:CBD1,CoQ-PP-2026-0011,22.05.2025,10.07.2025,4,15.95,0.06,0.01,6.88,Confirms,,,,"2,1 x 10⁴","1,9 x 10⁴",<10,Одговара,Одговара,< 2,Н.Д.,Н.Д.,Н.Д.,Н.Д.,Н.Д.,Н.Д.,ОДГОВАРА
12,2024-08,1,GP0824_02,P050022,Grape Pie,GP_THC24:CBD1,CoQ-PP-2026-0014,22.05.2025,10.08.2026,13,22.61,< LOQ,0.23,6.51,Confirms,,Confirms,Confirms,< 10 CFU/g,< 10 CFU/g,<10 CFU/g,Одговара,Одговара,< 2,ND,ND,н.д.,н.д.,"0,047",н.д.,Н.д.
13,2024-10,1,HPA1024_01,P050052,High Pro Amnesia,HPA_THC22:CBD1,CoQ-PP-2026-0012,18.06.2025,10.08.2026,6,21.61,<LOQ,<LOQ,6.36,Confirms,,,Confirms,"9,6 x 10³","1,5 x 10⁴",<10,Одговара,Одговара,< 2,ND,2.06,"0,059","0,014","0,037","0,008",Н.Д.
14,2024-10,1,OPM1024_02,P050062,Orange Punch Mimosa,OPM_THC16:CBD1,CoQ-PP-2026-0013,18.06.2025,10.08.2026,6,18.04,< LOQ,< LOQ,6.89,Confirms,,,,"3,4 x 10³ CFU/g","3,6 x 10³ CFU/g",< 10 CFU/g,Одговара,Одговара,< 2,ND,ND,"0,052","0,011","0,028","0,061",Н.д.
15,,3,BSS1024_01/1,P050122,Blue Sunset Sherbet,,,26.06.2025,22.09.2025,4,23.42,0.06,BLQ,6.38,Confirms,,,,< 10 CFU/g,< 10 CFU/g,<10,Одговара,Одговара,<2,Н.Д.,Н.Д.,Н.д.,Н.д.,"0,112",Н.д.,Н.д.
16,2024-08,2,GP0824_03,P050072,Grape Pie,GP_THC24:CBD1,CoQ-PP-2026-0015,26.06.2025,11.05.2026,7,25.45,0.08,BLQ,6.58,Confirms,,,,"1,1 x 10^4","1,2 x 10^4",,Одговара,Одговара,< 2,Н.Д.,Н.Д.,н.д.,н.д.,"0,119",н.д.,Н.д.
17,2024-08,2,MB0824_05,P050112,Motor Breath,MB_THC17.5:CBD1,CoQ-PP-2026-0017,28.07.2025,21.01.2026,4,16.82,0.06,0.02,6.56,Confirms,,Confirms,Confirms,"3,5 x 10³",1 x 10³,<10,Одговара,Одговара,2,Н.Д.,Н.Д.,Н.Д.,Н.Д.,0.086,0.006,Н.д.
18,2024-10,2,OPM1024_03,P050082,Orange Punch Mimosa,OPM_THC16:CBD1,CoQ-PP-2026-0018,28.07.2025,21.01.2026,4,16.55,0.04,0.01,6.38,Confirms,,,,2 х 10^2 CFU/g,3 х 10^2 CFU/g,< 10 CFU/g,Одговара,Одговара,"2,1",Н.Д.,Н.Д.,н.д.,н.д.,"0,135","0,03",Н.д.
19,2025-05,3,OPM052501,P050132,Orange Punch Mimosa,OPM_THC16:CBD1,CoQ-PP-2026-0019,29.08.2025,21.01.2026,4,14.16,0.04,0.02,8.28,Confirms,,Confirms,Confirms,"1,2 x 10⁴","3,3 x 10³",< 10,Одговара,Одговара,"2,1",Н.Д.,Н.Д.,Н.Д.,Н.Д.,Н.Д.,Н.Д.,Одговара
20,,1,CJ052501/01,P050162,Cap Junky,CAYN CK 24/1,,15.09.2025,07.08.2026,6,24.05,0.07,< LOQ,7.93,Confirms,,,,"2,8 x 10⁴","1,7 x 10⁴",,Одговара,Одговара,< 2,Н.Д.,Н.Д.,"0,085",Н.Д.,Н.Д.,Н.Д.,Одговара
