Seq,CoQ number,CoQ type,Basis date,Issue date,Packaged lot,Cultivation batch,Strain,Grade,iCoA reference,№,Group,Parameter,Параметар,Method / reference,Acceptance criterion,Result,Source document,Document date,Issuing institution,Report series,Status,Performed by,Also on file
24,CoQ-PP-2025-0002,initial release,07.03.2025,≥ 11.05.2026,BG1024,BG1024,Blue Gelato,I,iCoA-PP-2025-0002,1,,"Identification A, Appearance · Macroscopic","Идентиф. A, Изглед, Макроскопски",Ph. Eur. mon. 3028,Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
25,CoQ-PP-2025-0002,initial release,07.03.2025,≥ 11.05.2026,BG1024,BG1024,Blue Gelato,I,iCoA-PP-2025-0002,2,,Identification B · Microscopic,Идентиф. Б · Микроскопски,Ph. Eur. 2.8.23 (microscopy),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
26,CoQ-PP-2025-0002,initial release,07.03.2025,≥ 11.05.2026,BG1024,BG1024,Blue Gelato,I,iCoA-PP-2025-0002,3,,Identification C · HPLC/HPTLC,Идентиф. Ц · HPLC/HPTLC,"HPLC — DAB 2018 monograph Cannabis flos, 2.2.29 (CNP, before its Ph. Eur. 3028 accreditation)",Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,Conforms,ППК25050,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,UKIM CNP potency,covered,,
27,CoQ-PP-2025-0002,initial release,07.03.2025,≥ 11.05.2026,BG1024,BG1024,Blue Gelato,I,iCoA-PP-2025-0002,4,,Assay — Total Δ⁹-THC,Анализа — вкупен Δ⁹-THC,"HPLC — DAB 2018 monograph Cannabis flos, 2.2.29 (CNP, before its Ph. Eur. 3028 accreditation)","19.80 – 24.19 %  (grade II, nominal 22.00 ± 2.20)",21.80,ППК25050,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,UKIM CNP potency,covered,,26.14 (197-1-К/26)
28,CoQ-PP-2025-0002,initial release,07.03.2025,≥ 11.05.2026,BG1024,BG1024,Blue Gelato,I,iCoA-PP-2025-0002,5,,Assay — Total CBD,Анализа — вкупен CBD,"HPLC — DAB 2018 monograph Cannabis flos, 2.2.29 · CBD + CBDA x 0.877 (CNP, before its Ph. Eur. 3028 accreditation)","≤ 1.0%, w/w",0.04,ППК25050,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,UKIM CNP potency,covered,,<LOQ (197-1-К/26)
29,CoQ-PP-2025-0002,initial release,07.03.2025,≥ 11.05.2026,BG1024,BG1024,Blue Gelato,I,iCoA-PP-2025-0002,6,,Total CBN,Вкупен CBN,"HPLC — DAB 2018 monograph Cannabis flos, 2.2.29 · CBN + CBNA x 0.876 (CNP, before its Ph. Eur. 3028 accreditation)","≤ 1.0%, w/w",0.02 %,ППК25050,26.02.2025,CNP,read 09.09.2026,covered,,
30,CoQ-PP-2025-0002,initial release,07.03.2025,≥ 11.05.2026,BG1024,BG1024,Blue Gelato,I,iCoA-PP-2025-0002,7,,Foreign Matter,Страни материи,Ph. Eur. 2.8.2 · In-house · интерна,"≤ 2.0% / 25–50 g · < 1 cm leaves | листови, no seeds | без семки",—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Foreign matter,
31,CoQ-PP-2025-0002,initial release,07.03.2025,≥ 11.05.2026,BG1024,BG1024,Blue Gelato,I,iCoA-PP-2025-0002,8,,Loss on Drying,Губиток при сушење,"DAB 2018 monograph Cannabis flos, 2.2.32 — loss on drying (CNP, before its Ph. Eur. 3028 accreditation)",≤ 12.0%,5.73,ППК25050,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,UKIM CNP potency,covered,,
32,CoQ-PP-2025-0002,initial release,07.03.2025,≥ 11.05.2026,BG1024,BG1024,Blue Gelato,I,iCoA-PP-2025-0002,9.1,Microbiological Purity | Микробиолошка Чистота,TAMC,Вкупен аеробен микробен број,Ph. Eur. 2.6.12 cat. C,≤ 10⁵ CFU/g,1.6×10⁴,163/0271/25,24.02.2025,IPH — Institute of Public Health,IPH microbiology,covered,,
33,CoQ-PP-2025-0002,initial release,07.03.2025,≥ 11.05.2026,BG1024,BG1024,Blue Gelato,I,iCoA-PP-2025-0002,9.2,Microbiological Purity | Микробиолошка Чистота,TYMC,Вкупен број квасци/мувли,Ph. Eur. 2.6.12 cat. C,≤ 10⁴ CFU/g,1×10⁴,163/0271/25,24.02.2025,IPH — Institute of Public Health,IPH microbiology,covered,,
