Seq,CoQ number,CoQ type,Basis date,Issue date,Packaged lot,Cultivation batch,Strain,Grade,iCoA reference,№,Group,Parameter,Параметар,Method / reference,Acceptance criterion,Result,Source document,Document date,Issuing institution,Report series,Status,Performed by,Also on file
2002,(assigned on issue),initial release — predicted,—,≥ 31.08.2026,P060342,SCR012601,Scrambler,,(assigned on issue),1,,"Identification A, Appearance · Macroscopic","Идентиф. A, Изглед, Макроскопски",Ph. Eur. mon. 3028,Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
2003,(assigned on issue),initial release — predicted,—,≥ 31.08.2026,P060342,SCR012601,Scrambler,,(assigned on issue),2,,Identification B · Microscopic,Идентиф. Б · Микроскопски,Ph. Eur. 2.8.23 (microscopy),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
2004,(assigned on issue),initial release — predicted,—,≥ 31.08.2026,P060342,SCR012601,Scrambler,,(assigned on issue),3,,Identification C · HPLC/HPTLC,Идентиф. Ц · HPLC/HPTLC,Ph. Eur. 2.2.29 (3028),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,outside laboratory — the HPLC cannabinoid certificate discharges Ident C (Farmahem -K- or CNP); in-house iCoA P03 only where none exists,
2005,(assigned on issue),initial release — predicted,—,≥ 31.08.2026,P060342,SCR012601,Scrambler,,(assigned on issue),4,,Assay — Total Δ⁹-THC,Анализа — вкупен Δ⁹-THC,Ph. Eur. 2.2.29 (HPLC),Per grade of the potency specification of 15.09.2026 — no Total THC result on file,—,—,,,,not tested — no certificate covers it,,22.40 (227-8-К/26)
2006,(assigned on issue),initial release — predicted,—,≥ 31.08.2026,P060342,SCR012601,Scrambler,,(assigned on issue),5,,Assay — Total CBD,Анализа — вкупен CBD,Ph. Eur. 2.2.29 (HPLC) · CBD + CBDA x 0.877,"≤ 1.0%, w/w",—,—,,,,not tested — no certificate covers it,,<LOQ (227-8-К/26)
2007,(assigned on issue),initial release — predicted,—,≥ 31.08.2026,P060342,SCR012601,Scrambler,,(assigned on issue),6,,Total CBN,Вкупен CBN,Ph. Eur. 2.2.29 (HPLC) · CBN + CBNA x 0.876,"≤ 1.0%, w/w",—,—,,,,not tested — no certificate covers it,,<LOQ (227-8-К/26)
2008,(assigned on issue),initial release — predicted,—,≥ 31.08.2026,P060342,SCR012601,Scrambler,,(assigned on issue),7,,Foreign Matter,Страни материи,Ph. Eur. 2.8.2 · In-house · интерна,"≤ 2.0% / 25–50 g · < 1 cm leaves | листови, no seeds | без семки",—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Foreign matter,
2009,(assigned on issue),initial release — predicted,—,≥ 31.08.2026,P060342,SCR012601,Scrambler,,(assigned on issue),8,,Loss on Drying,Губиток при сушење,"Ph. Eur. 2.2.32 (3028) · at 40 °C, 24 h, 15–25 mbar",≤ 12.0%,—,—,,,,not tested — no certificate covers it,,
2010,(assigned on issue),initial release — predicted,—,≥ 31.08.2026,P060342,SCR012601,Scrambler,,(assigned on issue),9.1,Microbiological Purity | Микробиолошка Чистота,TAMC,Вкупен аеробен микробен број,Ph. Eur. 2.6.12 cat. C,≤ 10⁵ CFU/g,"8,3×10^3",539/1070/26,31.08.2026,IPH — Institute of Public Health,IPH microbiology,covered,,
2011,(assigned on issue),initial release — predicted,—,≥ 31.08.2026,P060342,SCR012601,Scrambler,,(assigned on issue),9.2,Microbiological Purity | Микробиолошка Чистота,TYMC,Вкупен број квасци/мувли,Ph. Eur. 2.6.12 cat. C,≤ 10⁴ CFU/g,"5,3×10^3",539/1070/26,31.08.2026,IPH — Institute of Public Health,IPH microbiology,covered,,
2012,(assigned on issue),initial release — predicted,—,≥ 31.08.2026,P060342,SCR012601,Scrambler,,(assigned on issue),9.3,Microbiological Purity | Микробиолошка Чистота,Bile-tolerant gram-neg.,Жолчно-толерантни грам-нег.,Ph. Eur. 2.6.31 cat. C,≤ 10⁴ CFU/g,< 10,539/1070/26,31.08.2026,IPH — Institute of Public Health,IPH microbiology,covered,,
2013,(assigned on issue),initial release — predicted,—,≥ 31.08.2026,P060342,SCR012601,Scrambler,,(assigned on issue),9.4,Microbiological Purity | Микробиолошка Чистота,Salmonella,Салмонела,Ph. Eur. 2.6.31 cat. C,Absence | Отсуство / 25 g,Одговара (absent),539/1070/26,31.08.2026,IPH — Institute of Public Health,IPH microbiology,covered,,
2014,(assigned on issue),initial release — predicted,—,≥ 31.08.2026,P060342,SCR012601,Scrambler,,(assigned on issue),9.5,Microbiological Purity | Микробиолошка Чистота,Escherichia coli,Ешерихија коли,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,Одговара (absent),539/1070/26,31.08.2026,IPH — Institute of Public Health,IPH microbiology,covered,,
2015,(assigned on issue),initial release — predicted,—,≥ 31.08.2026,P060342,SCR012601,Scrambler,,(assigned on issue),9.6,Microbiological Purity | Микробиолошка Чистота,Pseudomonas aeruginosa,,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,—,—,,,,upon request — not required for release,,
2016,(assigned on issue),initial release — predicted,—,≥ 31.08.2026,P060342,SCR012601,Scrambler,,(assigned on issue),9.7,Microbiological Purity | Микробиолошка Чистота,Staphylococcus aureus,,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,—,—,,,,upon request — not required for release,,
2017,(assigned on issue),initial release — predicted,—,≥ 31.08.2026,P060342,SCR012601,Scrambler,,(assigned on issue),10.1,Mycotoxins | Микотоксини,Aflatoxin B₁,Афлатоксин B₁,Ph. Eur. 2.8.18 (HPLC-FLD),≤ 2 µg/kg,—,—,,,,not tested — no certificate covers it,,
2018,(assigned on issue),initial release — predicted,—,≥ 31.08.2026,P060342,SCR012601,Scrambler,,(assigned on issue),10.2,Mycotoxins | Микотоксини,Aflatoxins ∑,Афлатоксини ∑ (B₁+B₂+G₁+G₂),Ph. Eur. 2.8.18 (HPLC-FLD),≤ 4 µg/kg,—,—,,,,not tested — no certificate covers it,,
2019,(assigned on issue),initial release — predicted,—,≥ 31.08.2026,P060342,SCR012601,Scrambler,,(assigned on issue),10.3,Mycotoxins | Микотоксини,Ochratoxin A,Охратоксин A,Ph. Eur. 2.8.22 (HPLC-FLD),≤ 20 µg/kg,—,—,,,,not tested — no certificate covers it,,
2020,(assigned on issue),initial release — predicted,—,≥ 31.08.2026,P060342,SCR012601,Scrambler,,(assigned on issue),11.1,Heavy Metals | Тешки метали,Lead (Pb),Олово (Pb),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.5 mg/kg,—,—,,,,not tested — no certificate covers it,,
2021,(assigned on issue),initial release — predicted,—,≥ 31.08.2026,P060342,SCR012601,Scrambler,,(assigned on issue),11.2,Heavy Metals | Тешки метали,Cadmium (Cd),Кадмиум (Cd),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.3 mg/kg,—,—,,,,not tested — no certificate covers it,,
2022,(assigned on issue),initial release — predicted,—,≥ 31.08.2026,P060342,SCR012601,Scrambler,,(assigned on issue),11.3,Heavy Metals | Тешки метали,Arsenic (As),Арсен (As),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.2 mg/kg,—,—,,,,not tested — no certificate covers it,,
2023,(assigned on issue),initial release — predicted,—,≥ 31.08.2026,P060342,SCR012601,Scrambler,,(assigned on issue),11.4,Heavy Metals | Тешки метали,Mercury (Hg),Жива (Hg),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.1 mg/kg,—,—,,,,not tested — no certificate covers it,,
2024,(assigned on issue),initial release — predicted,—,≥ 31.08.2026,P060342,SCR012601,Scrambler,,(assigned on issue),12,,Pesticide Residues,Остатоци од пестициди,Ph. Eur. 2.8.13 (LC-MS/MS) · CUMCS Equivalency,≤ LOQ as per Ph. Eur. 2.8.13 · ≤ LOQ as per CUMCS Equivalency,—,—,,,,not tested — no certificate covers it,,
2025,(assigned on issue),initial release — predicted,23.02.2026,≥ 01.09.2026,P060142,GRC102501/1,Graps & Creme,,(assigned on issue),1,,"Identification A, Appearance · Macroscopic","Идентиф. A, Изглед, Макроскопски",Ph. Eur. mon. 3028,Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
2026,(assigned on issue),initial release — predicted,23.02.2026,≥ 01.09.2026,P060142,GRC102501/1,Graps & Creme,,(assigned on issue),2,,Identification B · Microscopic,Идентиф. Б · Микроскопски,Ph. Eur. 2.8.23 (microscopy),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
2027,(assigned on issue),initial release — predicted,23.02.2026,≥ 01.09.2026,P060142,GRC102501/1,Graps & Creme,,(assigned on issue),3,,Identification C · HPLC/HPTLC,Идентиф. Ц · HPLC/HPTLC,Ph. Eur. 2.2.29 (3028),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,outside laboratory — the HPLC cannabinoid certificate discharges Ident C (Farmahem -K- or CNP); in-house iCoA P03 only where none exists,
2028,(assigned on issue),initial release — predicted,23.02.2026,≥ 01.09.2026,P060142,GRC102501/1,Graps & Creme,,(assigned on issue),4,,Assay — Total Δ⁹-THC,Анализа — вкупен Δ⁹-THC,Ph. Eur. 2.2.29 (HPLC),Per grade of the potency specification of 15.09.2026 — no Total THC result on file,—,—,,,,not tested — no certificate covers it,,7.50 (227-16-К/26)
2029,(assigned on issue),initial release — predicted,23.02.2026,≥ 01.09.2026,P060142,GRC102501/1,Graps & Creme,,(assigned on issue),5,,Assay — Total CBD,Анализа — вкупен CBD,Ph. Eur. 2.2.29 (HPLC) · CBD + CBDA x 0.877,"≤ 1.0%, w/w",—,—,,,,not tested — no certificate covers it,,<LOQ (227-16-К/26)
2030,(assigned on issue),initial release — predicted,23.02.2026,≥ 01.09.2026,P060142,GRC102501/1,Graps & Creme,,(assigned on issue),6,,Total CBN,Вкупен CBN,Ph. Eur. 2.2.29 (HPLC) · CBN + CBNA x 0.876,"≤ 1.0%, w/w",—,—,,,,not tested — no certificate covers it,,<LOQ (227-16-К/26)
2031,(assigned on issue),initial release — predicted,23.02.2026,≥ 01.09.2026,P060142,GRC102501/1,Graps & Creme,,(assigned on issue),7,,Foreign Matter,Страни материи,Ph. Eur. 2.8.2 · In-house · интерна,"≤ 2.0% / 25–50 g · < 1 cm leaves | листови, no seeds | без семки",—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Foreign matter,
2032,(assigned on issue),initial release — predicted,23.02.2026,≥ 01.09.2026,P060142,GRC102501/1,Graps & Creme,,(assigned on issue),8,,Loss on Drying,Губиток при сушење,"Ph. Eur. 2.2.32 (3028) · at 40 °C, 24 h, 15–25 mbar",≤ 12.0%,—,—,,,,not tested — no certificate covers it,,
2033,(assigned on issue),initial release — predicted,23.02.2026,≥ 01.09.2026,P060142,GRC102501/1,Graps & Creme,,(assigned on issue),9.1,Microbiological Purity | Микробиолошка Чистота,TAMC,Вкупен аеробен микробен број,Ph. Eur. 2.6.12 cat. C,≤ 10⁵ CFU/g,10,550/1081/26,01.09.2026,IPH — Institute of Public Health,IPH microbiology,covered,,
2034,(assigned on issue),initial release — predicted,23.02.2026,≥ 01.09.2026,P060142,GRC102501/1,Graps & Creme,,(assigned on issue),9.2,Microbiological Purity | Микробиолошка Чистота,TYMC,Вкупен број квасци/мувли,Ph. Eur. 2.6.12 cat. C,≤ 10⁴ CFU/g,< 10,550/1081/26,01.09.2026,IPH — Institute of Public Health,IPH microbiology,covered,,
2035,(assigned on issue),initial release — predicted,23.02.2026,≥ 01.09.2026,P060142,GRC102501/1,Graps & Creme,,(assigned on issue),9.3,Microbiological Purity | Микробиолошка Чистота,Bile-tolerant gram-neg.,Жолчно-толерантни грам-нег.,Ph. Eur. 2.6.31 cat. C,≤ 10⁴ CFU/g,< 10,550/1081/26,01.09.2026,IPH — Institute of Public Health,IPH microbiology,covered,,
2036,(assigned on issue),initial release — predicted,23.02.2026,≥ 01.09.2026,P060142,GRC102501/1,Graps & Creme,,(assigned on issue),9.4,Microbiological Purity | Микробиолошка Чистота,Salmonella,Салмонела,Ph. Eur. 2.6.31 cat. C,Absence | Отсуство / 25 g,Одговара (absent),550/1081/26,01.09.2026,IPH — Institute of Public Health,IPH microbiology,covered,,
2037,(assigned on issue),initial release — predicted,23.02.2026,≥ 01.09.2026,P060142,GRC102501/1,Graps & Creme,,(assigned on issue),9.5,Microbiological Purity | Микробиолошка Чистота,Escherichia coli,Ешерихија коли,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,Одговара (absent),550/1081/26,01.09.2026,IPH — Institute of Public Health,IPH microbiology,covered,,
2038,(assigned on issue),initial release — predicted,23.02.2026,≥ 01.09.2026,P060142,GRC102501/1,Graps & Creme,,(assigned on issue),9.6,Microbiological Purity | Микробиолошка Чистота,Pseudomonas aeruginosa,,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,—,—,,,,upon request — not required for release,,
2039,(assigned on issue),initial release — predicted,23.02.2026,≥ 01.09.2026,P060142,GRC102501/1,Graps & Creme,,(assigned on issue),9.7,Microbiological Purity | Микробиолошка Чистота,Staphylococcus aureus,,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,—,—,,,,upon request — not required for release,,
2040,(assigned on issue),initial release — predicted,23.02.2026,≥ 01.09.2026,P060142,GRC102501/1,Graps & Creme,,(assigned on issue),10.1,Mycotoxins | Микотоксини,Aflatoxin B₁,Афлатоксин B₁,Ph. Eur. 2.8.18 (HPLC-FLD),≤ 2 µg/kg,—,—,,,,not tested — no certificate covers it,,
2041,(assigned on issue),initial release — predicted,23.02.2026,≥ 01.09.2026,P060142,GRC102501/1,Graps & Creme,,(assigned on issue),10.2,Mycotoxins | Микотоксини,Aflatoxins ∑,Афлатоксини ∑ (B₁+B₂+G₁+G₂),Ph. Eur. 2.8.18 (HPLC-FLD),≤ 4 µg/kg,—,—,,,,not tested — no certificate covers it,,
2042,(assigned on issue),initial release — predicted,23.02.2026,≥ 01.09.2026,P060142,GRC102501/1,Graps & Creme,,(assigned on issue),10.3,Mycotoxins | Микотоксини,Ochratoxin A,Охратоксин A,Ph. Eur. 2.8.22 (HPLC-FLD),≤ 20 µg/kg,—,—,,,,not tested — no certificate covers it,,
2043,(assigned on issue),initial release — predicted,23.02.2026,≥ 01.09.2026,P060142,GRC102501/1,Graps & Creme,,(assigned on issue),11.1,Heavy Metals | Тешки метали,Lead (Pb),Олово (Pb),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.5 mg/kg,—,—,,,,not tested — no certificate covers it,,
2044,(assigned on issue),initial release — predicted,23.02.2026,≥ 01.09.2026,P060142,GRC102501/1,Graps & Creme,,(assigned on issue),11.2,Heavy Metals | Тешки метали,Cadmium (Cd),Кадмиум (Cd),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.3 mg/kg,—,—,,,,not tested — no certificate covers it,,
2045,(assigned on issue),initial release — predicted,23.02.2026,≥ 01.09.2026,P060142,GRC102501/1,Graps & Creme,,(assigned on issue),11.3,Heavy Metals | Тешки метали,Arsenic (As),Арсен (As),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.2 mg/kg,—,—,,,,not tested — no certificate covers it,,
2046,(assigned on issue),initial release — predicted,23.02.2026,≥ 01.09.2026,P060142,GRC102501/1,Graps & Creme,,(assigned on issue),11.4,Heavy Metals | Тешки метали,Mercury (Hg),Жива (Hg),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.1 mg/kg,—,—,,,,not tested — no certificate covers it,,
2047,(assigned on issue),initial release — predicted,23.02.2026,≥ 01.09.2026,P060142,GRC102501/1,Graps & Creme,,(assigned on issue),12,,Pesticide Residues,Остатоци од пестициди,Ph. Eur. 2.8.13 (LC-MS/MS) · CUMCS Equivalency,≤ LOQ as per Ph. Eur. 2.8.13 · ≤ LOQ as per CUMCS Equivalency,—,—,,,,not tested — no certificate covers it,,
2048,CoQ-PP-2026-0027,additional testing (12-month),04.03.2026,≥ 10.08.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,1,,"Identification A, Appearance · Macroscopic","Идентиф. A, Изглед, Макроскопски",Ph. Eur. mon. 3028,Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,"Farmahem — Ident A + B + C with the Assay, at retest",
2049,CoQ-PP-2026-0027,additional testing (12-month),04.03.2026,≥ 10.08.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,2,,Identification B · Microscopic,Идентиф. Б · Микроскопски,Ph. Eur. 2.8.23 (microscopy),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,"Farmahem — Ident A + B + C with the Assay, at retest",
2050,CoQ-PP-2026-0027,additional testing (12-month),04.03.2026,≥ 10.08.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,3,,Identification C · HPLC/HPTLC,Идентиф. Ц · HPLC/HPTLC,Ph. Eur. 2.2.29 (3028),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,Conforms,197-2-К/26,07.08.2026,Farmahem,Farmahem re-analysis — cannabinoids,covered,,
2051,CoQ-PP-2026-0027,additional testing (12-month),04.03.2026,≥ 10.08.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,4,,Assay — Total Δ⁹-THC,Анализа — вкупен Δ⁹-THC,Ph. Eur. 2.2.29 (HPLC),"21.89 – 26.10 %  (grade II, nominal 24.00 ± 2.11)",25.01,197-2-К/26,07.08.2026,Farmahem,Farmahem re-analysis — cannabinoids,covered,,
2052,CoQ-PP-2026-0027,additional testing (12-month),04.03.2026,≥ 10.08.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,5,,Assay — Total CBD,Анализа — вкупен CBD,Ph. Eur. 2.2.29 (HPLC) · CBD + CBDA x 0.877,"≤ 1.0%, w/w",<LOQ,197-2-К/26,07.08.2026,Farmahem,Farmahem re-analysis — cannabinoids,covered,,
2053,CoQ-PP-2026-0027,additional testing (12-month),04.03.2026,≥ 10.08.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,6,,Total CBN,Вкупен CBN,Ph. Eur. 2.2.29 (HPLC) · CBN + CBNA x 0.876,"≤ 1.0%, w/w",<LOQ,197-2-К/26,07.08.2026,Farmahem,Farmahem re-analysis — cannabinoids,covered,,
2054,CoQ-PP-2026-0027,additional testing (12-month),04.03.2026,≥ 10.08.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,7,,Foreign Matter,Страни материи,Ph. Eur. 2.8.2 · In-house · интерна,"≤ 2.0% / 25–50 g · < 1 cm leaves | листови, no seeds | без семки",—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Foreign matter,
2055,CoQ-PP-2026-0027,additional testing (12-month),04.03.2026,≥ 10.08.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,8,,Loss on Drying,Губиток при сушење,"DAB 2018 monograph Cannabis flos, 2.2.32 — loss on drying (CNP, before its Ph. Eur. 3028 accreditation)",≤ 12.0%,5.99,ППК25051,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,UKIM CNP potency,carried from the initial testing (CoQ-PP-2025-0001) — covered,,
2056,CoQ-PP-2026-0027,additional testing (12-month),04.03.2026,≥ 10.08.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,9.1,Microbiological Purity | Микробиолошка Чистота,TAMC,Вкупен аеробен микробен број,Ph. Eur. 2.6.12 cat. C,≤ 10⁵ CFU/g,1.5×10⁴,161/0269/25,24.02.2025,IPH — Institute of Public Health,IPH microbiology,carried from the initial testing (CoQ-PP-2025-0001) — covered,,
2057,CoQ-PP-2026-0027,additional testing (12-month),04.03.2026,≥ 10.08.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,9.2,Microbiological Purity | Микробиолошка Чистота,TYMC,Вкупен број квасци/мувли,Ph. Eur. 2.6.12 cat. C,≤ 10⁴ CFU/g,2.2×10³,161/0269/25,24.02.2025,IPH — Institute of Public Health,IPH microbiology,carried from the initial testing (CoQ-PP-2025-0001) — covered,,
2058,CoQ-PP-2026-0027,additional testing (12-month),04.03.2026,≥ 10.08.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,9.3,Microbiological Purity | Микробиолошка Чистота,Bile-tolerant gram-neg.,Жолчно-толерантни грам-нег.,Ph. Eur. 2.6.31 cat. C,≤ 10⁴ CFU/g,<10² and >10,161/0269/25,24.02.2025,IPH — Institute of Public Health,IPH microbiology,carried from the initial testing (CoQ-PP-2025-0001) — covered,,
2059,CoQ-PP-2026-0027,additional testing (12-month),04.03.2026,≥ 10.08.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,9.4,Microbiological Purity | Микробиолошка Чистота,Salmonella,Салмонела,Ph. Eur. 2.6.31 cat. C,Absence | Отсуство / 25 g,Одговара (absent),161/0269/25,24.02.2025,IPH — Institute of Public Health,IPH microbiology,carried from the initial testing (CoQ-PP-2025-0001) — covered,,
2060,CoQ-PP-2026-0027,additional testing (12-month),04.03.2026,≥ 10.08.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,9.5,Microbiological Purity | Микробиолошка Чистота,Escherichia coli,Ешерихија коли,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,Одговара (absent),161/0269/25,24.02.2025,IPH — Institute of Public Health,IPH microbiology,carried from the initial testing (CoQ-PP-2025-0001) — covered,,
2061,CoQ-PP-2026-0027,additional testing (12-month),04.03.2026,≥ 10.08.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,9.6,Microbiological Purity | Микробиолошка Чистота,Pseudomonas aeruginosa,,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,—,—,,,,upon request — not required for release,,
2062,CoQ-PP-2026-0027,additional testing (12-month),04.03.2026,≥ 10.08.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,9.7,Microbiological Purity | Микробиолошка Чистота,Staphylococcus aureus,,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,—,—,,,,upon request — not required for release,,
2063,CoQ-PP-2026-0027,additional testing (12-month),04.03.2026,≥ 10.08.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,10.1,Mycotoxins | Микотоксини,Aflatoxin B₁,Афлатоксин B₁,Ph. Eur. 2.8.18 (HPLC-FLD),≤ 2 µg/kg,ND,197-2-М/26,10.08.2026,Farmahem,Farmahem re-analysis — mycotoxins,covered,,
2064,CoQ-PP-2026-0027,additional testing (12-month),04.03.2026,≥ 10.08.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,10.2,Mycotoxins | Микотоксини,Aflatoxins ∑,Афлатоксини ∑ (B₁+B₂+G₁+G₂),Ph. Eur. 2.8.18 (HPLC-FLD),≤ 4 µg/kg,ND,197-2-М/26,10.08.2026,Farmahem,Farmahem re-analysis — mycotoxins,covered,,
2065,CoQ-PP-2026-0027,additional testing (12-month),04.03.2026,≥ 10.08.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,10.3,Mycotoxins | Микотоксини,Ochratoxin A,Охратоксин A,Ph. Eur. 2.8.22 (HPLC-FLD),≤ 20 µg/kg,ND,197-2-М/26,10.08.2026,Farmahem,Farmahem re-analysis — mycotoxins,covered,,
2066,CoQ-PP-2026-0027,additional testing (12-month),04.03.2026,≥ 10.08.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,11.1,Heavy Metals | Тешки метали,Lead (Pb),Олово (Pb),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.5 mg/kg,0.071,751/2025,27.02.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",carried from the initial testing (CoQ-PP-2025-0001) — covered,,
2067,CoQ-PP-2026-0027,additional testing (12-month),04.03.2026,≥ 10.08.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,11.2,Heavy Metals | Тешки метали,Cadmium (Cd),Кадмиум (Cd),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.3 mg/kg,0.014,751/2025,27.02.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",carried from the initial testing (CoQ-PP-2025-0001) — covered,,
2068,CoQ-PP-2026-0027,additional testing (12-month),04.03.2026,≥ 10.08.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,11.3,Heavy Metals | Тешки метали,Arsenic (As),Арсен (As),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.2 mg/kg,0.081,751/2025,27.02.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",carried from the initial testing (CoQ-PP-2025-0001) — covered,,
2069,CoQ-PP-2026-0027,additional testing (12-month),04.03.2026,≥ 10.08.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,11.4,Heavy Metals | Тешки метали,Mercury (Hg),Жива (Hg),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.1 mg/kg,0.014,751/2025,27.02.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",carried from the initial testing (CoQ-PP-2025-0001) — covered,,
2070,CoQ-PP-2026-0027,additional testing (12-month),04.03.2026,≥ 10.08.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,12,,Pesticide Residues,Остатоци од пестициди,Ph. Eur. 2.8.13 (LC-MS/MS) · CUMCS Equivalency,≤ LOQ as per Ph. Eur. 2.8.13 · ≤ LOQ as per CUMCS Equivalency,N.D.,751/2025,27.02.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",carried from the initial testing (CoQ-PP-2025-0001) — covered,,
2071,CoQ-PP-2026-0028,additional testing (12-month),07.03.2026,≥ 10.08.2026,BG1024,BG1024,Blue Gelato,I,iCoA-PP-2025-0002,1,,"Identification A, Appearance · Macroscopic","Идентиф. A, Изглед, Макроскопски",Ph. Eur. mon. 3028,Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,"Farmahem — Ident A + B + C with the Assay, at retest",
