code,batch,p_lot,strain,round,campaign,tranche,tested_from,tested_to,issued,parameters,covers_in_house,note
iCoA-PP_26-142,MB0824_05,P050112,Motor Breath,retest 1,220,Tranche 2 (sampled 12–14.08.2026),13.08.2026,13.08.2026,17.08.2026,1 2 7,,
iCoA-PP_26-143,OPM092501,P060042,Orange Punch Mimosa,retest 1,220,Tranche 2 (sampled 12–14.08.2026),13.08.2026,13.08.2026,17.08.2026,1 2 7,,
iCoA-PP_26-144,OPM1024_01,P050042,Orange Punch Mimosa,retest 1,220,Tranche 2 (sampled 12–14.08.2026),13.08.2026,13.08.2026,17.08.2026,1 2 7,,
iCoA-PP_26-145,CC012603,P060372,Cash Cow,retest 1,220,Tranche 2 (sampled 12–14.08.2026),14.08.2026,14.08.2026,17.08.2026,1 2 7,,
iCoA-PP_26-146,CC042601,,Cash Cow,retest 1,220,Tranche 2 (sampled 12–14.08.2026),14.08.2026,14.08.2026,17.08.2026,1 2 7,,
iCoA-PP_26-147,FB042601,,Fat Bastard,retest 1,220,Tranche 2 (sampled 12–14.08.2026),14.08.2026,14.08.2026,17.08.2026,1 2 7,,
iCoA-PP_26-148,JD042601,P060492,Jelly Donutz,retest 1,220,Tranche 2 (sampled 12–14.08.2026),14.08.2026,14.08.2026,17.08.2026,1 2 7,,
iCoA-PP_26-149,OPM1024_03,P050082,Orange Punch Mimosa,retest 1,220,Tranche 2 (sampled 12–14.08.2026),14.08.2026,14.08.2026,17.08.2026,1 2 7,,
iCoA-PP_26-150,PM112501,P060232,Permanent Market,retest 1,220,Tranche 2 (sampled 12–14.08.2026),14.08.2026,14.08.2026,17.08.2026,1 2 7,,
iCoA-PP_26-151,PUM102501,P060112,Pure Michigen,retest 1,220,Tranche 2 (sampled 12–14.08.2026),14.08.2026,14.08.2026,17.08.2026,1 2 7,,
iCoA-PP_26-152,SCR112501,P060282,Scrambler,retest 1,220,Tranche 2 (sampled 12–14.08.2026),14.08.2026,14.08.2026,17.08.2026,1 2 7,,
iCoA-PP_26-153,SJ092501,P060082,Sleepy Joy,retest 1,220,Tranche 2 (sampled 12–14.08.2026),14.08.2026,14.08.2026,17.08.2026,1 2 7,,
iCoA-PP_26-154,WC082501,P060012,Wedding Crasher,retest 1,220,Tranche 2 (sampled 12–14.08.2026),14.08.2026,14.08.2026,17.08.2026,1 2 7,,
iCoA-PP_26-155,BSS1024_01/2,P050142,Blue Sunset Sherbet,retest 1,227,Tranche 3 (sampled 19–21.08.2026),19.08.2026,19.08.2026,24.08.2026,1 2 7,,
iCoA-PP_26-156,GP0824_01,P050102,Grape Pie,retest 1,227,Tranche 3 (sampled 19–21.08.2026),19.08.2026,19.08.2026,24.08.2026,1 2 7,,
iCoA-PP_26-157,OPM112501,P060222,Orange Punch Mimosa,retest 1,227,Tranche 3 (sampled 19–21.08.2026),19.08.2026,19.08.2026,24.08.2026,1 2 7,,
iCoA-PP_26-158,PM072501,P050272,Permanent Market,retest 1,227,Tranche 3 (sampled 19–21.08.2026),19.08.2026,19.08.2026,24.08.2026,1 2 7,,
iCoA-PP_26-159,SCR012601,P060342,Scrambler,retest 1,227,Tranche 3 (sampled 19–21.08.2026),19.08.2026,19.08.2026,24.08.2026,1 2 7,,
iCoA-PP_26-160,SCR022601,P060442,Scrambler,retest 1,227,Tranche 3 (sampled 19–21.08.2026),19.08.2026,19.08.2026,24.08.2026,1 2 7,,
iCoA-PP_26-161,SJ102501,P060162,Sleepy Joy,retest 1,227,Tranche 3 (sampled 19–21.08.2026),19.08.2026,19.08.2026,24.08.2026,1 2 7,,
iCoA-PP_26-162,SJ112501,P060192,Sleepy Joy,retest 1,227,Tranche 3 (sampled 19–21.08.2026),19.08.2026,19.08.2026,24.08.2026,1 2 7,,
iCoA-PP_26-163,WC072501,P050262,Wedding Crasher,retest 1,227,Tranche 3 (sampled 19–21.08.2026),19.08.2026,19.08.2026,24.08.2026,1 2 7,,
iCoA-PP_26-164,WED102501,P060102,Wedding Cake,retest 1,227,Tranche 3 (sampled 19–21.08.2026),19.08.2026,19.08.2026,24.08.2026,1 2 7,,
iCoA-PP_26-165,GG1024_02,P050012,Gorilla Glue,retest 1,227,Tranche 3 (sampled 19–21.08.2026),20.08.2026,20.08.2026,24.08.2026,1 2 7,,
iCoA-PP_26-166,GG112501,P060252,Gorilla Glue,retest 1,227,Tranche 3 (sampled 19–21.08.2026),20.08.2026,20.08.2026,24.08.2026,1 2 7,,
iCoA-PP_26-167,GP062501,P050202,Grape Pie,retest 5,227,Tranche 3 (sampled 19–21.08.2026),20.08.2026,20.08.2026,24.08.2026,1 2 7,,
iCoA-PP_26-168,GP072501-1,P050292,Grape Pie,retest 1,227,Tranche 3 (sampled 19–21.08.2026),20.08.2026,20.08.2026,24.08.2026,1 2 7,,
iCoA-PP_26-169,GRC102501/1,P060142,Graps & Creme,retest 1,227,Tranche 3 (sampled 19–21.08.2026),20.08.2026,20.08.2026,24.08.2026,1 2 7,,
iCoA-PP_26-170,J31112501,P060202,Jokerz 31,retest 2,227,Tranche 3 (sampled 19–21.08.2026),20.08.2026,20.08.2026,24.08.2026,1 2 7,,
iCoA-PP_26-171,J31122501,P060262,Jokerz 31,retest 1,227,Tranche 3 (sampled 19–21.08.2026),20.08.2026,20.08.2026,24.08.2026,1 2 7,,
iCoA-PP_26-172,JD012601,,Jelly Donutz,retest 1,227,Tranche 3 (sampled 19–21.08.2026),20.08.2026,20.08.2026,24.08.2026,1 2 7,,
iCoA-PP_26-173,MB0824_04,P050032,Motor Breath,retest 1,227,Tranche 3 (sampled 19–21.08.2026),20.08.2026,20.08.2026,24.08.2026,1 2 7,,
iCoA-PP_26-174,OPM052501,P050132,Orange Punch Mimosa,retest 1,227,Tranche 3 (sampled 19–21.08.2026),20.08.2026,20.08.2026,24.08.2026,1 2 7,,
iCoA-PP_26-175,AB092501,P060052,Apple and Banana,retest 1,227,Tranche 3 (sampled 19–21.08.2026),21.08.2026,21.08.2026,24.08.2026,1 2 7,,
iCoA-PP_26-176,BSS1024_01,P050122,Blue Sunset Sherbet,retest 1,227,Tranche 3 (sampled 19–21.08.2026),21.08.2026,21.08.2026,24.08.2026,1 2 7,,
iCoA-PP_26-177,CC112501,P060272,Cash Cow,retest 1,227,Tranche 3 (sampled 19–21.08.2026),21.08.2026,21.08.2026,24.08.2026,1 2 7,,
iCoA-PP_26-178,CJ052501-2,P050172,Cup Junky,retest 1,227,Tranche 3 (sampled 19–21.08.2026),21.08.2026,21.08.2026,24.08.2026,1 2 7,,
iCoA-PP_26-179,CJ072501,P050252,Cup Junky,retest 1,227,Tranche 3 (sampled 19–21.08.2026),21.08.2026,21.08.2026,24.08.2026,1 2 7,,
iCoA-PP_26-180,CJ1024,,Cup Junky,retest 1,227,Tranche 3 (sampled 19–21.08.2026),21.08.2026,21.08.2026,24.08.2026,1 2 7,,
