key,cu_batch,p_batch,series,coq_code,issue_date,rule_date,icoa_ref,icoa_issue_date,issuable
P060042|R,OPM092501,P060042,retest — not yet sampled,— at issue —,,at retest sampling,— at issue —,,no
P060062|R,PM092501,P060062,retest — Tranche 1 (sampled July 2026),— at issue —,,17.08.2026,— at issue —,,no
P060072|R,CJ092501,P060072,retest — not yet sampled,— at issue —,,at retest sampling,— at issue —,,no
P060082|R,SJ0925021,P060082,retest — not yet sampled,— at issue —,,at retest sampling,— at issue —,,no
P060092|R,GP092501,P060092,retest — not yet sampled,— at issue —,,at retest sampling,— at issue —,,no
P060052|R,AB092501,P060052,retest — sampled — Tranche 2/3 (potency and mycotoxins pending),— at issue —,,08.09.2026,— at issue —,,no
P060162|R,SJ102501,P060162,retest — sampled — Tranche 2/3 (potency and mycotoxins pending),— at issue —,,07.09.2026,— at issue —,,no
P060192|R,SJ112501,P060192,retest — not yet sampled,— at issue —,,at retest sampling,— at issue —,,no
P060152|R,J31102501,P060152,retest — Tranche 1 (sampled July 2026),— at issue —,,17.08.2026,— at issue —,,no
P060222|R,OPM112501,P060222,retest — sampled — Tranche 2/3 (potency and mycotoxins pending),— at issue —,,07.09.2026,— at issue —,,no
P060172|R,KC102501,P060172,retest — not yet sampled,— at issue —,,at retest sampling,— at issue —,,no
P060182|R,GRC102501,P060182,retest — sampled — Tranche 2/3 (potency and mycotoxins pending),— at issue —,,08.09.2026,— at issue —,,no
P060202|R,J31112501,P060202,retest — sampled — Tranche 2/3 (potency and mycotoxins pending),— at issue —,,07.09.2026,— at issue —,,no
P060212|R,JD112501,P060212,retest — Tranche 1 (sampled July 2026),— at issue —,,17.08.2026,— at issue —,,no
JD112501|R,JD112501＊,N/A — no P batch assigned,retest — not yet sampled,— at issue —,,at retest sampling,— at issue —,,no
P060262|R,J31122501,P060262,retest — re-analysed,— at issue —,,27.05.2026,— at issue —,,no
P060232|R,PM112501,P060232,retest — not yet sampled,— at issue —,,at retest sampling,— at issue —,,no
P060242|R,OPM122501,P060242,retest — Tranche 1 (sampled July 2026),— at issue —,,17.08.2026,— at issue —,,no
P060272|R,CC112501,P060272,retest — sampled — Tranche 2/3 (potency and mycotoxins pending),— at issue —,,07.09.2026,— at issue —,,no
P060292|R,FB112501,P060292,retest — sampled — Tranche 2/3 (potency and mycotoxins pending),— at issue —,,07.09.2026,— at issue —,,no
P060302|R,GG012601＊,P060302,retest — sampled — Tranche 2/3 (potency and mycotoxins pending),— at issue —,,07.09.2026,— at issue —,,no
P060252|R,GG112501,P060252,retest — sampled — Tranche 2/3 (potency and mycotoxins pending),— at issue —,,07.09.2026,— at issue —,,no
P050202|R,GP062501,P050202,retest — sampled — Tranche 2/3 (potency and mycotoxins pending),— at issue —,,08.09.2026,— at issue —,,no
P060312|R,JD012601＊,P060312,retest — sampled — Tranche 2/3 (potency and mycotoxins pending),— at issue —,,07.09.2026,— at issue —,,no
P060282|R,SCR112501,P060282,retest — not yet sampled,— at issue —,,at retest sampling,— at issue —,,no
P060322|R,FB012601_1,P060322,retest — not yet sampled,— at issue —,,at retest sampling,— at issue —,,no
P060352|R,FB012602*,P060352,retest — re-analysed,— at issue —,,17.08.2026,— at issue —,,no
P060362|R,JD012603,P060362,retest — re-analysed,— at issue —,,07.07.2026,— at issue —,,no
P060422|R,JD012603,P060422,retest — re-analysed,— at issue —,,07.07.2026,— at issue —,,no
P060402|R,GG012603,P060402,retest — re-analysed,— at issue —,,17.08.2026,— at issue —,,no
P060412|R,JD012603,P060412,retest — re-analysed,— at issue —,,07.07.2026,— at issue —,,no
P060382|R,SCR012603,P060382,retest — re-analysed,— at issue —,,17.08.2026,— at issue —,,no
P060432|R,FB012603,P060432,retest — sampled — Tranche 2/3 (potency and mycotoxins pending),— at issue —,,07.09.2026,— at issue —,,no
P060392|R,FB012603V,P060392,retest — sampled — Tranche 2/3 (potency and mycotoxins pending),— at issue —,,07.09.2026,— at issue —,,no
P060482|R,JD022601,P060482,retest — not yet sampled,— at issue —,,at retest sampling,— at issue —,,no
P060442|R,SCR022601,P060442,retest — sampled — Tranche 2/3 (potency and mycotoxins pending),— at issue —,,07.09.2026,— at issue —,,no
P060452|R,FB032601,P060452,retest — not yet sampled,— at issue —,,at retest sampling,— at issue —,,no
P060462|R,GG032601,P060462,retest — not yet sampled,— at issue —,,at retest sampling,— at issue —,,no
