code,phenotype,dominance,dom,chemotype,processing,packaging,printed_code,file
QCSP_001_VG-II_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_VG-II_v.01,RENs/VG_Vanilla_Grapes_Grade_II.pdf
QCSP_001_VG-IV_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_VG-IV_v.01,T1_rename/VG_Vanilla_Grapes_Grade_IV.pdf
QCSP_001_VG-I_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_VG-I_v.01,RENs/VG_Vanilla_Grapes_Grade_I.pdf
QCSP_001_WC-III_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_WC-III_v.01,BASE_SPCs/WC_Wedding_Crasher_Grade_III.pdf
QCSP_001_WC-II_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_WC-II_v.01,BASE_SPCs/WC_Wedding_Crasher_Grade_II.pdf
QCSP_001_WC-I_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_WC-I_v.01,BASE_SPCs/WC_Wedding_Crasher_Grade_I.pdf
QCSP_001_WCSS-III_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_WCSS-III_v.01,NEWs/WCSS_Wedding_Cake_x_Sunset_Sherbet_Grade_III.pdf
QCSP_001_WCSS-II_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_WCSS-II_v.01,NEWs/WCSS_Wedding_Cake_x_Sunset_Sherbet_Grade_II.pdf
QCSP_001_WCSS-IV_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_WCSS-IV_v.01,NEWs/WCSS_Wedding_Cake_x_Sunset_Sherbet_Grade_IV.pdf
QCSP_001_WCSS-I_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_WCSS-I_v.01,NEWs/WCSS_Wedding_Cake_x_Sunset_Sherbet_Grade_I.pdf
QCSP_001_WED-III_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_WED-III_v.01,BASE_SPCs/WED_COC_Wedding_Cake_Grade_III.pdf
QCSP_001_WED-II_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_WED-II_v.01,BASE_SPCs/WED_COC_Wedding_Cake_Grade_II.pdf
QCSP_001_WED-IV_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_WED-IV_v.01,BASE_SPCs/WED_COC_Wedding_Cake_Grade_IV.pdf
QCSP_001_WED-I_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_WED-I_v.01,BASE_SPCs/WED_COC_Wedding_Cake_Grade_I.pdf
QCSP_001_ZEC-III_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_ZEC-III_v.01,NEWs/ZEC_Zeclair_Grade_III.pdf
QCSP_001_ZEC-II_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_ZEC-II_v.01,NEWs/ZEC_Zeclair_Grade_II.pdf
QCSP_001_ZEC-IV_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_ZEC-IV_v.01,NEWs/ZEC_Zeclair_Grade_IV.pdf
QCSP_001_ZEC-I_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_ZEC-I_v.01,NEWs/ZEC_Zeclair_Grade_I.pdf
