sheet	idx	customer	strain	batch	quantity_kg	thc_pct	p_number	coa_on_file	micro_category
2	7		Grape pie	GP0824_01		20	P050102		Category C
2	8		Gorilla Glue	GG1024_01		17	P050092		Category C
2	9		Orange Punch Mimosa	OMP1024_01		15.38	P050042		Category B
2	10		Motor Breath	MB0824_04		18.67	P050032		Category B
2	11		Gorilla Glue	GG1024_02		15.95	P050012		Category C
2	12		Grape pie	GP0824_02		23.79	P050022		Category B
2	13		High Pro Amnesia	HPA1024_01		22.43	P050052		Category B
2	14		Orange Punch Mimosa	OPM1024_02		18.27	P050062		Category C
2	15		Blue Sunset Sherbet	BSS1024_01/1		23.42	P050122		Category B
2	16		Grape pie	GP0824_03		25.45	P050072		Category C
2	17		Orange Punch Mimosa	OPM1024_03		16.55	P050082		Category B
2	18		Motor Breath	MB0824_05		16.82	P050112		Category C
2	19		Orange Punch Mimosa	OPM052501		14.16	P050132		Category C
2	20		Grape pie	GP052501		18.98	P050152		Category C
2	21		Cap Junkie	CJ052501/01		20.29	P050162		Category C
2	22		Cap Junkie	CJ052501/02		14.49	P050172		Category C
2	23		High Pro Amnesia	HPA052501		20.39	P050182		Category C
2	24		Blue Sunset Sherbet	BSS052501		20.47	P050192		Category B
2	25		Grape pie	GP062501		22.89	P050202		Category B
2	26		Cap Junkie*	CJ062501/1		21.51	P050222		Category C
2	27		Cap Junkie	CJ062501/2		16.56	P050212		Category C
2	28		Cap Junkie	CJ072501		23.7	P050252		Category C
2	29		Permanent Marker	PM072501		10.01	P050272		Category B
2	30		Wedding crusher	WC072501		22.11	P050262		Category B
2	31		Clemosa	CLE072501		8.02	P050282		Category B
2	32		Grape Pie	GP072501/1		21.36	P050292		Category C
2	33		Grape Pie	GP072501/2		19.81	P050302		Category B
2	34		Grape Pie	GP082501/1		21.29	P050312		Category C
2	35		Grape Pie	GP082501/2		14.83	P050322		Category C
2	36		Wedding crusher	WC082501		21.67	P060012		Category B
2	37		Cap Junkie	CJ082501/1		24.96	P060022		Category B
2	38		Cap Junkie	CJ082501/2		20.84	P060032		Category C
2	39		Permanent Marker	PM092501		14.06	P060062		Category C
2	40		Appels&Bannas	AB092501		16.93	P060052		Category B
2	41		Sleepy Joe	SJ092501		10.96	P060082		Category B
2	42		Cap Junkie	CJ092501		22.3	P060072		Category B
2	43		Orange Punch Mimosa	OPM092501		9.43	P060042		Category B
2	44		Grape pie	GP092501		25.73	P060092		Category B
2	45		Amnesia Core Cut	ACC102501		12.91	P060122
2	46		Pure Michigen	PUM102501		15.63	P060112
2	47		Grapes and Cream	GRC102501/1		7.05
2	48		Wedding cake	WED102501		22.05	P060102
2	49		Chem Flyer	CF102501		9.83	P060132
